 temp-sweep      Vbe            
-5.00000000e+01  9.16740400e-01 
-4.50000000e+01  9.11163492e-01 
-4.00000000e+01  9.03794823e-01 
-3.50000000e+01  8.97183250e-01 
-3.00000000e+01  8.90608447e-01 
-2.50000000e+01  8.84027914e-01 
-2.00000000e+01  8.77428631e-01 
-1.50000000e+01  8.70810683e-01 
-1.00000000e+01  8.64174218e-01 
-5.00000000e+00  8.57519385e-01 
 0.00000000e+00  8.50846345e-01 
 5.00000000e+00  8.44155264e-01 
 1.00000000e+01  8.37446317e-01 
 1.50000000e+01  8.30719684e-01 
 2.00000000e+01  8.23975550e-01 
 2.50000000e+01  8.17214105e-01 
 3.00000000e+01  8.10435545e-01 
 3.50000000e+01  8.03640065e-01 
 4.00000000e+01  7.96827866e-01 
 4.50000000e+01  7.89999150e-01 
 5.00000000e+01  7.83154121e-01 
 5.50000000e+01  7.76292982e-01 
 6.00000000e+01  7.69415941e-01 
 6.50000000e+01  7.62523201e-01 
 7.00000000e+01  7.55614969e-01 
 7.50000000e+01  7.48691450e-01 
 8.00000000e+01  7.41752848e-01 
 8.50000000e+01  7.34799367e-01 
 9.00000000e+01  7.27831208e-01 
 9.50000000e+01  7.20848572e-01 
 1.00000000e+02  7.13851659e-01 
 temp-sweep      VBG            
-5.00000000e+01  1.15935974e+00 
-4.50000000e+01  1.15935216e+00 
-4.00000000e+01  1.15945655e+00 
-3.50000000e+01  1.15963706e+00 
-3.00000000e+01  1.15986888e+00 
-2.50000000e+01  1.16012615e+00 
-2.00000000e+01  1.16037938e+00 
-1.50000000e+01  1.16060151e+00 
-1.00000000e+01  1.16077573e+00 
-5.00000000e+00  1.16089551e+00 
 0.00000000e+00  1.16095967e+00 
 5.00000000e+00  1.16096954e+00 
 1.00000000e+01  1.16092772e+00 
 1.50000000e+01  1.16083771e+00 
 2.00000000e+01  1.16070361e+00 
 2.50000000e+01  1.16052991e+00 
 3.00000000e+01  1.16032096e+00 
 3.50000000e+01  1.16008094e+00 
 4.00000000e+01  1.15981374e+00 
 4.50000000e+01  1.15952283e+00 
 5.00000000e+01  1.15921130e+00 
 5.50000000e+01  1.15888185e+00 
 6.00000000e+01  1.15853680e+00 
 6.50000000e+01  1.15817817e+00 
 7.00000000e+01  1.15780767e+00 
 7.50000000e+01  1.15742678e+00 
 8.00000000e+01  1.15703675e+00 
 8.50000000e+01  1.15663862e+00 
 9.00000000e+01  1.15623328e+00 
 9.50000000e+01  1.15582148e+00 
 1.00000000e+02  1.15540379e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.12258913e+00 
-4.50000000e+01  1.12152822e+00 
-4.00000000e+01  1.12054838e+00 
-3.50000000e+01  1.11962353e+00 
-3.00000000e+01  1.11873629e+00 
-2.50000000e+01  1.11787523e+00 
-2.00000000e+01  1.11703333e+00 
-1.50000000e+01  1.11620444e+00 
-1.00000000e+01  1.11538733e+00 
-5.00000000e+00  1.11457737e+00 
 0.00000000e+00  1.11377521e+00 
 5.00000000e+00  1.11297920e+00 
 1.00000000e+01  1.11218871e+00 
 1.50000000e+01  1.11140492e+00 
 2.00000000e+01  1.11062286e+00 
 2.50000000e+01  1.10984723e+00 
 3.00000000e+01  1.10907861e+00 
 3.50000000e+01  1.10831118e+00 
 4.00000000e+01  1.10755375e+00 
 4.50000000e+01  1.10680068e+00 
 5.00000000e+01  1.10605301e+00 
 5.50000000e+01  1.10531664e+00 
 6.00000000e+01  1.10459130e+00 
 6.50000000e+01  1.10387949e+00 
 7.00000000e+01  1.10318502e+00 
 7.50000000e+01  1.10250966e+00 
 8.00000000e+01  1.10185991e+00 
 8.50000000e+01  1.10124007e+00 
 9.00000000e+01  1.10065208e+00 
 9.50000000e+01  1.10011130e+00 
 1.00000000e+02  1.09960669e+00 
 temp-sweep      VBG            
-5.00000000e+01  9.79191633e-08 
-4.50000000e+01  9.82104058e-08 
-4.00000000e+01  9.78397131e-08 
-3.50000000e+01  9.69980507e-08 
-3.00000000e+01  9.58454939e-08 
-2.50000000e+01  9.45023277e-08 
-2.00000000e+01  9.30533708e-08 
-1.50000000e+01  9.15538309e-08 
-1.00000000e+01  9.00409661e-08 
-5.00000000e+00  8.85368813e-08 
 0.00000000e+00  8.70550921e-08 
 5.00000000e+00  8.56033802e-08 
 1.00000000e+01  8.41865014e-08 
 1.50000000e+01  8.28046157e-08 
 2.00000000e+01  8.14600203e-08 
 2.50000000e+01  8.01518258e-08 
 3.00000000e+01  7.88799597e-08 
 3.50000000e+01  7.76419250e-08 
 4.00000000e+01  7.64363408e-08 
 4.50000000e+01  7.52634937e-08 
 5.00000000e+01  7.41212760e-08 
 5.50000000e+01  7.30083658e-08 
 6.00000000e+01  7.19234695e-08 
 6.50000000e+01  7.08663774e-08 
 7.00000000e+01  6.98327420e-08 
 7.50000000e+01  6.88245353e-08 
 8.00000000e+01  6.78408110e-08 
 8.50000000e+01  6.68781434e-08 
 9.00000000e+01  6.59366299e-08 
 9.50000000e+01  6.50153015e-08 
 1.00000000e+02  6.41117055e-08 
 temp-sweep      VBG            
-5.00000000e+01  1.12258913e+00 
-4.50000000e+01  1.12152822e+00 
-4.00000000e+01  1.12054838e+00 
-3.50000000e+01  1.11962353e+00 
-3.00000000e+01  1.11873629e+00 
-2.50000000e+01  1.11787523e+00 
-2.00000000e+01  1.11703333e+00 
-1.50000000e+01  1.11620444e+00 
-1.00000000e+01  1.11538733e+00 
-5.00000000e+00  1.11457737e+00 
 0.00000000e+00  1.11377521e+00 
 5.00000000e+00  1.11297920e+00 
 1.00000000e+01  1.11218871e+00 
 1.50000000e+01  1.11140492e+00 
 2.00000000e+01  1.11062286e+00 
 2.50000000e+01  1.10984723e+00 
 3.00000000e+01  1.10907861e+00 
 3.50000000e+01  1.10831118e+00 
 4.00000000e+01  1.10755375e+00 
 4.50000000e+01  1.10680068e+00 
 5.00000000e+01  1.10605301e+00 
 5.50000000e+01  1.10531664e+00 
 6.00000000e+01  1.10459130e+00 
 6.50000000e+01  1.10387949e+00 
 7.00000000e+01  1.10318502e+00 
 7.50000000e+01  1.10250966e+00 
 8.00000000e+01  1.10185991e+00 
 8.50000000e+01  1.10124007e+00 
 9.00000000e+01  1.10065208e+00 
 9.50000000e+01  1.10011130e+00 
 1.00000000e+02  1.09960669e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.12825775e+00 
-4.50000000e+01  1.12726946e+00 
-4.00000000e+01  1.12635678e+00 
-3.50000000e+01  1.12549528e+00 
-3.00000000e+01  1.12466872e+00 
-2.50000000e+01  1.12386644e+00 
-2.00000000e+01  1.12308174e+00 
-1.50000000e+01  1.12230935e+00 
-1.00000000e+01  1.12154703e+00 
-5.00000000e+00  1.12079257e+00 
 0.00000000e+00  1.12004465e+00 
 5.00000000e+00  1.11930237e+00 
 1.00000000e+01  1.11856515e+00 
 1.50000000e+01  1.11783262e+00 
 2.00000000e+01  1.11710606e+00 
 2.50000000e+01  1.11638095e+00 
 3.00000000e+01  1.11566187e+00 
 3.50000000e+01  1.11494758e+00 
 4.00000000e+01  1.11423856e+00 
 4.50000000e+01  1.11353548e+00 
 5.00000000e+01  1.11283932e+00 
 5.50000000e+01  1.11215140e+00 
 6.00000000e+01  1.11147347e+00 
 6.50000000e+01  1.11080780e+00 
 7.00000000e+01  1.11015720e+00 
 7.50000000e+01  1.10952512e+00 
 8.00000000e+01  1.10891559e+00 
 8.50000000e+01  1.10833313e+00 
 9.00000000e+01  1.10777947e+00 
 9.50000000e+01  1.10726438e+00 
 1.00000000e+02  1.10679040e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.12825775e+00 
-4.50000000e+01  1.12726946e+00 
-4.00000000e+01  1.12635678e+00 
-3.50000000e+01  1.12549528e+00 
-3.00000000e+01  1.12466872e+00 
-2.50000000e+01  1.12386644e+00 
-2.00000000e+01  1.12308174e+00 
-1.50000000e+01  1.12230935e+00 
-1.00000000e+01  1.12154703e+00 
-5.00000000e+00  1.12079257e+00 
 0.00000000e+00  1.12004465e+00 
 5.00000000e+00  1.11930237e+00 
 1.00000000e+01  1.11856515e+00 
 1.50000000e+01  1.11783262e+00 
 2.00000000e+01  1.11710606e+00 
 2.50000000e+01  1.11638095e+00 
 3.00000000e+01  1.11566187e+00 
 3.50000000e+01  1.11494758e+00 
 4.00000000e+01  1.11423856e+00 
 4.50000000e+01  1.11353548e+00 
 5.00000000e+01  1.11283932e+00 
 5.50000000e+01  1.11215140e+00 
 6.00000000e+01  1.11147347e+00 
 6.50000000e+01  1.11080780e+00 
 7.00000000e+01  1.11015720e+00 
 7.50000000e+01  1.10952512e+00 
 8.00000000e+01  1.10891559e+00 
 8.50000000e+01  1.10833313e+00 
 9.00000000e+01  1.10777947e+00 
 9.50000000e+01  1.10726438e+00 
 1.00000000e+02  1.10679040e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.12258913e+00 
-4.50000000e+01  1.12152822e+00 
-4.00000000e+01  1.12054838e+00 
-3.50000000e+01  1.11962353e+00 
-3.00000000e+01  1.11873629e+00 
-2.50000000e+01  1.11787523e+00 
-2.00000000e+01  1.11703333e+00 
-1.50000000e+01  1.11620444e+00 
-1.00000000e+01  1.11538733e+00 
-5.00000000e+00  1.11457737e+00 
 0.00000000e+00  1.11377521e+00 
 5.00000000e+00  1.11297920e+00 
 1.00000000e+01  1.11218871e+00 
 1.50000000e+01  1.11140492e+00 
 2.00000000e+01  1.11062286e+00 
 2.50000000e+01  1.10984723e+00 
 3.00000000e+01  1.10907861e+00 
 3.50000000e+01  1.10831118e+00 
 4.00000000e+01  1.10755375e+00 
 4.50000000e+01  1.10680068e+00 
 5.00000000e+01  1.10605301e+00 
 5.50000000e+01  1.10531664e+00 
 6.00000000e+01  1.10459130e+00 
 6.50000000e+01  1.10387949e+00 
 7.00000000e+01  1.10318502e+00 
 7.50000000e+01  1.10250966e+00 
 8.00000000e+01  1.10185991e+00 
 8.50000000e+01  1.10124007e+00 
 9.00000000e+01  1.10065208e+00 
 9.50000000e+01  1.10011130e+00 
 1.00000000e+02  1.09960669e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.10687700e+00 
-4.50000000e+01  1.10586412e+00 
-4.00000000e+01  1.10493838e+00 
-3.50000000e+01  1.10407422e+00 
-3.00000000e+01  1.10325484e+00 
-2.50000000e+01  1.10246926e+00 
-2.00000000e+01  1.10171038e+00 
-1.50000000e+01  1.10097366e+00 
-1.00000000e+01  1.10025618e+00 
-5.00000000e+00  1.09955613e+00 
 0.00000000e+00  1.09887243e+00 
 5.00000000e+00  1.09820450e+00 
 1.00000000e+01  1.09755222e+00 
 1.50000000e+01  1.09691567e+00 
 2.00000000e+01  1.09629529e+00 
 2.50000000e+01  1.09569175e+00 
 3.00000000e+01  1.09510607e+00 
 3.50000000e+01  1.09453945e+00 
 4.00000000e+01  1.09399350e+00 
 4.50000000e+01  1.09347017e+00 
 5.00000000e+01  1.09297179e+00 
 5.50000000e+01  1.09250112e+00 
 6.00000000e+01  1.09204629e+00 
 6.50000000e+01  1.09165580e+00 
 7.00000000e+01  1.09127241e+00 
 7.50000000e+01  1.09096301e+00 
 8.00000000e+01  1.09068354e+00 
 8.50000000e+01  1.09043610e+00 
 9.00000000e+01  1.09025779e+00 
 9.50000000e+01  1.09013464e+00 
 1.00000000e+02  1.09006707e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.15619293e+00 
-4.50000000e+01  1.15566727e+00 
-4.00000000e+01  1.15518389e+00 
-3.50000000e+01  1.15472975e+00 
-3.00000000e+01  1.15429639e+00 
-2.50000000e+01  1.15387837e+00 
-2.00000000e+01  1.15347223e+00 
-1.50000000e+01  1.15307575e+00 
