 temp-sweep      vgs            
-5.00000000e+01  3.47898007e-01 
-4.50000000e+01  3.46241573e-01 
-4.00000000e+01  3.44576875e-01 
-3.50000000e+01  3.42903290e-01 
-3.00000000e+01  3.41220282e-01 
-2.50000000e+01  3.39527318e-01 
-2.00000000e+01  3.37823875e-01 
-1.50000000e+01  3.36109440e-01 
-1.00000000e+01  3.34383506e-01 
-5.00000000e+00  3.32645580e-01 
 0.00000000e+00  3.30895179e-01 
 5.00000000e+00  3.29131833e-01 
 1.00000000e+01  3.27355082e-01 
 1.50000000e+01  3.25564484e-01 
 2.00000000e+01  3.23759608e-01 
 2.50000000e+01  3.21940038e-01 
 3.00000000e+01  3.20105373e-01 
 3.50000000e+01  3.18255227e-01 
 4.00000000e+01  3.16389230e-01 
 4.50000000e+01  3.14507025e-01 
 5.00000000e+01  3.12608275e-01 
 5.50000000e+01  3.10692654e-01 
 6.00000000e+01  3.08759856e-01 
 6.50000000e+01  3.06809589e-01 
 7.00000000e+01  3.04841578e-01 
 7.50000000e+01  3.02855566e-01 
 8.00000000e+01  3.00851313e-01 
 8.50000000e+01  2.98828600e-01 
 9.00000000e+01  2.96787225e-01 
 9.50000000e+01  2.94727011e-01 
 1.00000000e+02  2.92647805e-01 
