"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;0.001;3.78335e-20;-2.73433e-20
-2e+11;0.001;5.96772e-20;1.81649e-20
-1.5e+11;0.001;2.07538e-20;9.97646e-20
-1e+11;0.001;1.69924e-20;2.69727e-20
-5e+10;0.001;-1.45605e-19;0.0005
0;0.001;2.10894e-21;0
5e+10;0.001;-1.45605e-19;-0.0005
1e+11;0.001;1.69924e-20;-2.69727e-20
1.5e+11;0.001;2.07538e-20;-9.97646e-20
2e+11;0.001;5.96772e-20;-1.81649e-20
2.5e+11;0.001;3.78335e-20;2.73433e-20
-2.5e+11;0.00124623;5.06053e-20;3.30302e-21
-2e+11;0.00124623;7.00953e-20;7.90494e-20
-1.5e+11;0.00124623;4.65671e-20;8.52288e-20
-1e+11;0.00124623;1.08707e-20;3.87366e-20
-5e+10;0.00124623;-1.90873e-19;0.000623115
0;0.00124623;4.0381e-21;0
5e+10;0.00124623;-1.90873e-19;-0.000623115
1e+11;0.00124623;1.08707e-20;-3.87366e-20
1.5e+11;0.00124623;4.65671e-20;-8.52288e-20
2e+11;0.00124623;7.00953e-20;-7.90494e-20
2.5e+11;0.00124623;5.06053e-20;-3.30302e-21
-2.5e+11;0.00149246;5.76555e-20;-9.37645e-20
-2e+11;0.00149246;8.02736e-20;1.28603e-20
-1.5e+11;0.00149246;5.98058e-20;1.01879e-19
-1e+11;0.00149246;3.06287e-20;3.961e-20
-5e+10;0.00149246;-2.25908e-19;0.000746231
0;0.00149246;-4.02896e-20;0
5e+10;0.00149246;-2.25908e-19;-0.000746231
1e+11;0.00149246;3.06287e-20;-3.961e-20
1.5e+11;0.00149246;5.98058e-20;-1.01879e-19
2e+11;0.00149246;8.02736e-20;-1.28603e-20
2.5e+11;0.00149246;5.76555e-20;9.37645e-20
-2.5e+11;0.00173869;7.43639e-20;3.84179e-20
-2e+11;0.00173869;5.86492e-20;1.10977e-19
-1.5e+11;0.00173869;6.31572e-20;7.99197e-20
-1e+11;0.00173869;6.38694e-20;3.89109e-20
-5e+10;0.00173869;-2.81599e-19;0.000869346
0;0.00173869;6.93951e-20;0
5e+10;0.00173869;-2.81599e-19;-0.000869346
1e+11;0.00173869;6.38694e-20;-3.89109e-20
1.5e+11;0.00173869;6.31572e-20;-7.99197e-20
2e+11;0.00173869;5.86492e-20;-1.10977e-19
2.5e+11;0.00173869;7.43639e-20;-3.84179e-20
-2.5e+11;0.00198492;6.13036e-20;7.99735e-20
-2e+11;0.00198492;9.63967e-20;6.95401e-21
-1.5e+11;0.00198492;6.55286e-20;1.47914e-19
-1e+11;0.00198492;7.8004e-20;1.21014e-19
-5e+10;0.00198492;-3.06764e-19;0.000992462
0;0.00198492;1.04529e-22;0
5e+10;0.00198492;-3.06764e-19;-0.000992462
1e+11;0.00198492;7.8004e-20;-1.21014e-19
1.5e+11;0.00198492;6.55286e-20;-1.47914e-19
2e+11;0.00198492;9.63967e-20;-6.95401e-21
2.5e+11;0.00198492;6.13036e-20;-7.99735e-20
-2.5e+11;0.00223115;1.4113e-19;2.23338e-20
-2e+11;0.00223115;1.22675e-19;3.72823e-20
-1.5e+11;0.00223115;3.764e-20;1.29084e-19
-1e+11;0.00223115;-2.16405e-20;6.50154e-20
-5e+10;0.00223115;-3.37986e-19;0.00111558
0;0.00223115;2.63332e-20;0
5e+10;0.00223115;-3.37986e-19;-0.00111558
1e+11;0.00223115;-2.16405e-20;-6.50154e-20
1.5e+11;0.00223115;3.764e-20;-1.29084e-19
2e+11;0.00223115;1.22675e-19;-3.72823e-20
2.5e+11;0.00223115;1.4113e-19;-2.23338e-20
-2.5e+11;0.00247739;6.84466e-20;1.55738e-19
-2e+11;0.00247739;1.59861e-19;1.48756e-19
-1.5e+11;0.00247739;9.65442e-20;-7.75805e-21
-1e+11;0.00247739;6.97682e-20;9.81852e-20
-5e+10;0.00247739;-3.913e-19;0.00123869
0;0.00247739;-2.4899e-19;0
5e+10;0.00247739;-3.913e-19;-0.00123869
1e+11;0.00247739;6.97682e-20;-9.81852e-20
1.5e+11;0.00247739;9.65442e-20;7.75805e-21
2e+11;0.00247739;1.59861e-19;-1.48756e-19
2.5e+11;0.00247739;6.84466e-20;-1.55738e-19
-2.5e+11;0.00272362;1.7377e-19;-5.16155e-20
-2e+11;0.00272362;6.01769e-20;1.20889e-19
-1.5e+11;0.00272362;1.2488e-19;2.10015e-19
-1e+11;0.00272362;1.43535e-19;-2.46973e-20
-5e+10;0.00272362;-4.82473e-19;0.00136181
0;0.00272362;1.42673e-19;0
5e+10;0.00272362;-4.82473e-19;-0.00136181
1e+11;0.00272362;1.43535e-19;2.46973e-20
1.5e+11;0.00272362;1.2488e-19;-2.10015e-19
2e+11;0.00272362;6.01769e-20;-1.20889e-19
2.5e+11;0.00272362;1.7377e-19;5.16155e-20
-2.5e+11;0.00296985;1.00279e-19;1.97129e-19
-2e+11;0.00296985;1.64203e-19;9.71228e-20
-1.5e+11;0.00296985;1.13641e-19;1.39501e-19
-1e+11;0.00296985;6.27033e-20;1.13294e-19
-5e+10;0.00296985;-4.69628e-19;0.00148492
0;0.00296985;3.06482e-20;0
5e+10;0.00296985;-4.69628e-19;-0.00148492
1e+11;0.00296985;6.27033e-20;-1.13294e-19
1.5e+11;0.00296985;1.13641e-19;-1.39501e-19
2e+11;0.00296985;1.64203e-19;-9.71228e-20
2.5e+11;0.00296985;1.00279e-19;-1.97129e-19
-2.5e+11;0.00321608;1.86434e-19;-3.84586e-20
-2e+11;0.00321608;1.62104e-19;1.56128e-19
-1.5e+11;0.00321608;1.04565e-19;3.31423e-19
-1e+11;0.00321608;1.8382e-20;-5.55188e-22
-5e+10;0.00321608;-5.24062e-19;0.00160804
0;0.00321608;1.03711e-19;0
5e+10;0.00321608;-5.24062e-19;-0.00160804
1e+11;0.00321608;1.8382e-20;5.55188e-22
1.5e+11;0.00321608;1.04565e-19;-3.31423e-19
2e+11;0.00321608;1.62104e-19;-1.56128e-19
2.5e+11;0.00321608;1.86434e-19;3.84586e-20
-2.5e+11;0.00346231;1.24563e-19;1.96098e-19
-2e+11;0.00346231;2.49898e-19;1.56121e-19
-1.5e+11;0.00346231;1.30441e-19;8.04566e-20
-1e+11;0.00346231;-1.81558e-20;3.36352e-19
-5e+10;0.00346231;-5.34276e-19;0.00173116
0;0.00346231;1.67573e-19;0
5e+10;0.00346231;-5.34276e-19;-0.00173116
1e+11;0.00346231;-1.81558e-20;-3.36352e-19
1.5e+11;0.00346231;1.30441e-19;-8.04566e-20
2e+11;0.00346231;2.49898e-19;-1.56121e-19
2.5e+11;0.00346231;1.24563e-19;-1.96098e-19
-2.5e+11;0.00370854;1.37151e-19;-3.04277e-22
-2e+11;0.00370854;1.53175e-19;7.76882e-20
-1.5e+11;0.00370854;1.37412e-19;2.74051e-19
-1e+11;0.00370854;1.17737e-20;1.55521e-19
-5e+10;0.00370854;-5.41743e-19;0.00185427
0;0.00370854;1.90032e-19;0
5e+10;0.00370854;-5.41743e-19;-0.00185427
1e+11;0.00370854;1.17737e-20;-1.55521e-19
1.5e+11;0.00370854;1.37412e-19;-2.74051e-19
2e+11;0.00370854;1.53175e-19;-7.76882e-20
2.5e+11;0.00370854;1.37151e-19;3.04277e-22
-2.5e+11;0.00395477;1.03253e-19;2.75931e-19
-2e+11;0.00395477;2.45902e-19;3.15387e-19
-1.5e+11;0.00395477;1.26537e-19;2.36613e-19
-1e+11;0.00395477;1.17126e-19;7.88552e-20
