"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.001;-7.47829e-07;6.34625e-07
-2e+11;0.001;2.51851e-06;-7.73845e-06
-1.5e+11;0.001;2.41213e-05;6.51042e-05
-1e+11;0.001;-0.000629004;-0.000485524
-5e+10;0.001;0.000264811;0.025832
0;0.001;1.05117;0
5e+10;0.001;0.000264811;-0.025832
1e+11;0.001;-0.000629004;0.000485524
1.5e+11;0.001;2.41213e-05;-6.51042e-05
2e+11;0.001;2.51851e-06;7.73845e-06
2.5e+11;0.001;-7.47829e-07;-6.34625e-07
-2.5e+11;0.00124623;-2.11453e-06;1.84023e-06
-2e+11;0.00124623;6.05924e-06;-1.83845e-05
-1.5e+11;0.00124623;4.6082e-05;0.000124987
-1e+11;0.00124623;-0.000970312;-0.000753883
-5e+10;0.00124623;0.00036148;0.0322588
0;0.00124623;1.51789;0
5e+10;0.00124623;0.00036148;-0.0322588
1e+11;0.00124623;-0.000970312;0.000753883
1.5e+11;0.00124623;4.6082e-05;-0.000124987
2e+11;0.00124623;6.05924e-06;1.83845e-05
2.5e+11;0.00124623;-2.11453e-06;-1.84023e-06
-2.5e+11;0.00149246;-4.90907e-06;4.36927e-06
-2e+11;0.00149246;1.24549e-05;-3.72689e-05
-1.5e+11;0.00149246;7.81165e-05;0.000213224
-1e+11;0.00149246;-0.00138295;-0.00108274
-5e+10;0.00149246;0.000468339;0.0387022
0;0.00149246;1.09021;0
5e+10;0.00149246;0.000468339;-0.0387022
1e+11;0.00149246;-0.00138295;0.00108274
1.5e+11;0.00149246;7.81165e-05;-0.000213224
2e+11;0.00149246;1.24549e-05;3.72689e-05
2.5e+11;0.00149246;-4.90907e-06;-4.36927e-06
-2.5e+11;0.00173869;-9.98057e-06;9.05683e-06
-2e+11;0.00173869;2.30184e-05;-6.7877e-05
-1.5e+11;0.00173869;0.000122093;0.000335993
-1e+11;0.00173869;-0.00186859;-0.0014755
-5e+10;0.00173869;0.000576734;0.0451368
0;0.00173869;1.11157;0
5e+10;0.00173869;0.000576734;-0.0451368
1e+11;0.00173869;-0.00186859;0.0014755
1.5e+11;0.00173869;0.000122093;-0.000335993
2e+11;0.00173869;2.30184e-05;6.7877e-05
2.5e+11;0.00173869;-9.98057e-06;-9.05683e-06
-2.5e+11;0.00198492;-1.85156e-05;1.70759e-05
-2e+11;0.00198492;3.95151e-05;-0.00011481
-1.5e+11;0.00198492;0.000180284;0.000501374
-1e+11;0.00198492;-0.00243336;-0.00193888
-5e+10;0.00198492;0.000670047;0.051515
0;0.00198492;1.12967;0
5e+10;0.00198492;0.000670047;-0.051515
1e+11;0.00198492;-0.00243336;0.00193888
1.5e+11;0.00198492;0.000180284;-0.000501374
2e+11;0.00198492;3.95151e-05;0.00011481
2.5e+11;0.00198492;-1.85156e-05;-1.70759e-05
-2.5e+11;0.00223115;-3.23005e-05;3.0193e-05
-2e+11;0.00223115;6.45337e-05;-0.000184899
-1.5e+11;0.00223115;0.00025606;0.000721869
-1e+11;0.00223115;-0.00309225;-0.00248558
-5e+10;0.00223115;0.000717519;0.0577492
0;0.00223115;1.14734;0
5e+10;0.00223115;0.000717519;-0.0577492
1e+11;0.00223115;-0.00309225;0.00248558
1.5e+11;0.00223115;0.00025606;-0.000721869
2e+11;0.00223115;6.45337e-05;0.000184899
2.5e+11;0.00223115;-3.23005e-05;-3.0193e-05
-2.5e+11;0.00247739;-5.43566e-05;5.14581e-05
-2e+11;0.00247739;0.000102336;-0.000289955
-1.5e+11;0.00247739;0.000355452;0.00101991
-1e+11;0.00247739;-0.00387826;-0.00314002
-5e+10;0.00247739;0.000661876;0.0636778
0;0.00247739;1.16553;0
5e+10;0.00247739;0.000661876;-0.0636778
1e+11;0.00247739;-0.00387826;0.00314002
1.5e+11;0.00247739;0.000355452;-0.00101991
2e+11;0.00247739;0.000102336;0.000289955
2.5e+11;0.00247739;-5.43566e-05;-5.14581e-05
-2.5e+11;0.00272362;-9.03507e-05;8.69516e-05
-2e+11;0.00272362;0.000160609;-0.000453032
-1.5e+11;0.00272362;0.000490602;0.00143921
-1e+11;0.00272362;-0.00485973;-0.0039486
-5e+10;0.00272362;0.000399413;0.0690127
0;0.00272362;1.18097;0
5e+10;0.00272362;0.000399413;-0.0690127
1e+11;0.00272362;-0.00485973;0.0039486
1.5e+11;0.00272362;0.000490602;-0.00143921
2e+11;0.00272362;0.000160609;0.000453032
2.5e+11;0.00272362;-9.03507e-05;-8.69516e-05
-2.5e+11;0.00296985;-0.000150565;0.000148687
-2e+11;0.00296985;0.000252489;-0.000717262
