"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;0.001;-1.78664e-06;4.1436e-07
-2e+11;0.001;7.38998e-06;-1.12027e-05
-1.5e+11;0.001;-2.70996e-05;9.23037e-05
-1e+11;0.001;-1.28193e-05;0.000262801
-5e+10;0.001;-0.0714185;-0.0940483
0;0.001;1.94991e-20;0
5e+10;0.001;-0.0714185;0.0940483
1e+11;0.001;-1.28193e-05;-0.000262801
1.5e+11;0.001;-2.70996e-05;-9.23037e-05
2e+11;0.001;7.38998e-06;1.12027e-05
2.5e+11;0.001;-1.78664e-06;-4.1436e-07
-2.5e+11;0.00124623;-5.10284e-06;1.20798e-06
-2e+11;0.00124623;1.75481e-05;-2.6634e-05
-1.5e+11;0.00124623;-5.28518e-05;0.000178631
-1e+11;0.00124623;-2.58414e-05;0.000425929
-5e+10;0.00124623;-0.0891183;-0.117397
0;0.00124623;6.83987e-22;0
5e+10;0.00124623;-0.0891183;0.117397
1e+11;0.00124623;-2.58414e-05;-0.000425929
1.5e+11;0.00124623;-5.28518e-05;-0.000178631
2e+11;0.00124623;1.75481e-05;2.6634e-05
2.5e+11;0.00124623;-5.10284e-06;-1.20798e-06
-2.5e+11;0.00149246;-1.19444e-05;2.86494e-06
-2e+11;0.00149246;3.55652e-05;-5.40566e-05
-1.5e+11;0.00149246;-9.1543e-05;0.000307663
-1e+11;0.00149246;-4.72975e-05;0.00063844
-5e+10;0.00149246;-0.106832;-0.140759
0;0.00149246;-1.68645e-20;0
5e+10;0.00149246;-0.106832;0.140759
1e+11;0.00149246;-4.72975e-05;-0.00063844
1.5e+11;0.00149246;-9.1543e-05;-0.000307663
2e+11;0.00149246;3.55652e-05;5.40566e-05
2.5e+11;0.00149246;-1.19444e-05;-2.86494e-06
-2.5e+11;0.00173869;-2.44198e-05;5.89319e-06
-2e+11;0.00173869;6.48104e-05;-9.86033e-05
-1.5e+11;0.00173869;-0.000146016;0.00049001
-1e+11;0.00173869;-8.05297e-05;0.000903303
-5e+10;0.00173869;-0.1245;-0.164019
0;0.00173869;-1.15789e-17;0
5e+10;0.00173869;-0.1245;0.164019
1e+11;0.00173869;-8.05297e-05;-0.000903303
1.5e+11;0.00173869;-0.000146016;-0.00049001
2e+11;0.00173869;6.48104e-05;9.86033e-05
2.5e+11;0.00173869;-2.44198e-05;-5.89319e-06
-2.5e+11;0.00198492;-4.53958e-05;1.09617e-05
-2e+11;0.00198492;0.00010986;-0.000167014
-1.5e+11;0.00198492;-0.000219073;0.00073939
-1e+11;0.00198492;-0.000129794;0.00121753
-5e+10;0.00198492;-0.142017;-0.186974
0;0.00198492;-3.15039e-17;0
5e+10;0.00198492;-0.142017;0.186974
1e+11;0.00198492;-0.000129794;-0.00121753
1.5e+11;0.00198492;-0.000219073;-0.00073939
2e+11;0.00198492;0.00010986;0.000167014
2.5e+11;0.00198492;-4.53958e-05;-1.09617e-05
-2.5e+11;0.00223115;-7.9001e-05;1.90618e-05
-2e+11;0.00223115;0.000177803;-0.000269006
-1.5e+11;0.00223115;-0.000313022;0.00107581
-1e+11;0.00223115;-0.000200644;0.00156473
-5e+10;0.00223115;-0.159204;-0.209259
0;0.00223115;3.44562e-17;0
5e+10;0.00223115;-0.159204;0.209259
1e+11;0.00223115;-0.000200644;-0.00156473
1.5e+11;0.00223115;-0.000313022;-0.00107581
2e+11;0.00223115;0.000177803;0.000269006
2.5e+11;0.00223115;-7.9001e-05;-1.90618e-05
-2.5e+11;0.00247739;-0.000131927;3.20813e-05
-2e+11;0.00247739;0.000281403;-0.000420493
-1.5e+11;0.00247739;-0.000428429;0.00153238
-1e+11;0.00247739;-0.000300377;0.00189992
-5e+10;0.00247739;-0.175739;-0.230218
0;0.00247739;1.89401e-18;0
5e+10;0.00247739;-0.175739;0.230218
1e+11;0.00247739;-0.000300377;-0.00189992
1.5e+11;0.00247739;-0.000428429;-0.00153238
2e+11;0.00247739;0.000281403;0.000420493
