"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;0.001;-2.69814e-09;-3.03122e-08
-2e+11;0.001;-1.98461e-07;-4.7184e-08
-1.5e+11;0.001;-2.0957e-06;1.66625e-06
-1e+11;0.001;3.07304e-06;3.31392e-05
-5e+10;0.001;-0.00265882;-0.00152463
0;0.001;-7.66053e-20;0
5e+10;0.001;-0.00265882;0.00152463
1e+11;0.001;3.07304e-06;-3.31392e-05
1.5e+11;0.001;-2.0957e-06;-1.66625e-06
2e+11;0.001;-1.98461e-07;4.7184e-08
2.5e+11;0.001;-2.69814e-09;3.03122e-08
-2.5e+11;0.00116388;-7.24247e-09;-6.88308e-08
-2e+11;0.00116388;-3.93037e-07;-1.01876e-07
-1.5e+11;0.00116388;-3.43837e-06;2.67457e-06
-1e+11;0.00116388;4.30425e-06;4.56845e-05
-5e+10;0.00116388;-0.00309024;-0.00177471
0;0.00116388;4.72308e-19;0
5e+10;0.00116388;-0.00309024;0.00177471
1e+11;0.00116388;4.30425e-06;-4.56845e-05
1.5e+11;0.00116388;-3.43837e-06;-2.67457e-06
2e+11;0.00116388;-3.93037e-07;1.01876e-07
2.5e+11;0.00116388;-7.24247e-09;6.88308e-08
-2.5e+11;0.00132776;-1.63728e-08;-1.46338e-07
-2e+11;0.00132776;-7.36652e-07;-2.08908e-07
-1.5e+11;0.00132776;-5.3754e-06;4.08297e-06
-1e+11;0.00132776;5.7745e-06;6.08741e-05
-5e+10;0.00132776;-0.00351996;-0.00202581
0;0.00132776;2.96867e-19;0
5e+10;0.00132776;-0.00351996;0.00202581
1e+11;0.00132776;5.7745e-06;-6.08741e-05
1.5e+11;0.00132776;-5.3754e-06;-4.08297e-06
2e+11;0.00132776;-7.36652e-07;2.08908e-07
2.5e+11;0.00132776;-1.63728e-08;1.46338e-07
-2.5e+11;0.00149164;-3.06851e-08;-3.03501e-07
-2e+11;0.00149164;-1.34604e-06;-4.19264e-07
-1.5e+11;0.00149164;-8.16646e-06;6.04139e-06
-1e+11;0.00149164;7.46082e-06;7.93045e-05
-5e+10;0.00149164;-0.00394765;-0.00227867
0;0.00149164;1.85162e-19;0
5e+10;0.00149164;-0.00394765;0.00227867
1e+11;0.00149164;7.46082e-06;-7.93045e-05
1.5e+11;0.00149164;-8.16646e-06;-6.04139e-06
2e+11;0.00149164;-1.34604e-06;4.19264e-07
2.5e+11;0.00149164;-3.06851e-08;3.03501e-07
-2.5e+11;0.00165552;-5.21492e-08;-6.31981e-07
-2e+11;0.00165552;-2.47167e-06;-8.38915e-07
-1.5e+11;0.00165552;-1.22936e-05;8.83207e-06
-1e+11;0.00165552;9.29011e-06;0.000102027
-5e+10;0.00165552;-0.00437257;-0.00253427
0;0.00165552;1.2306e-19;0
5e+10;0.00165552;-0.00437257;0.00253427
1e+11;0.00165552;9.29011e-06;-0.000102027
1.5e+11;0.00165552;-1.22936e-05;-8.83207e-06
2e+11;0.00165552;-2.47167e-06;8.38915e-07
2.5e+11;0.00165552;-5.21492e-08;6.31981e-07
-2.5e+11;0.0018194;-1.37674e-07;-1.15618e-06
-2e+11;0.0018194;-4.30641e-06;-1.50036e-06
-1.5e+11;0.0018194;-1.81696e-05;1.27158e-05
-1e+11;0.0018194;1.11811e-05;0.000130132
-5e+10;0.0018194;-0.00479394;-0.00279366
0;0.0018194;6.87008e-19;0
5e+10;0.0018194;-0.00479394;0.00279366
1e+11;0.0018194;1.11811e-05;-0.000130132
1.5e+11;0.0018194;-1.81696e-05;-1.27158e-05
2e+11;0.0018194;-4.30641e-06;1.50036e-06
2.5e+11;0.0018194;-1.37674e-07;1.15618e-06
-2.5e+11;0.00198328;-2.64228e-07;-1.83967e-06
-2e+11;0.00198328;-6.79423e-06;-2.4574e-06
-1.5e+11;0.00198328;-2.60375e-05;1.76792e-05
-1e+11;0.00198328;1.29294e-05;0.000164475
-5e+10;0.00198328;-0.00521115;-0.00305778
0;0.00198328;-4.81226e-19;0
5e+10;0.00198328;-0.00521115;0.00305778
1e+11;0.00198328;1.29294e-05;-0.000164475
1.5e+11;0.00198328;-2.60375e-05;-1.76792e-05
2e+11;0.00198328;-6.79423e-06;2.4574e-06
2.5e+11;0.00198328;-2.64228e-07;1.83967e-06
-2.5e+11;0.00214716;-1.49268e-07;-2.93448e-06
-2e+11;0.00214716;-1.02164e-05;-4.24416e-06
-1.5e+11;0.00214716;-3.70836e-05;2.38924e-05
-1e+11;0.00214716;1.38729e-05;0.000207403
-5e+10;0.00214716;-0.0056217;-0.00332756
0;0.00214716;-4.40224e-19;0
5e+10;0.00214716;-0.0056217;0.00332756
1e+11;0.00214716;1.38729e-05;-0.000207403
1.5e+11;0.00214716;-3.70836e-05;-2.38924e-05
2e+11;0.00214716;-1.02164e-05;4.24416e-06
2.5e+11;0.00214716;-1.49268e-07;2.93448e-06
-2.5e+11;0.00231104;2.70657e-06;-7.80607e-06
-2e+11;0.00231104;-1.87396e-05;-1.13322e-05
-1.5e+11;0.00231104;-5.98482e-05;3.41269e-05
-1e+11;0.00231104;1.1137e-05;0.000271327
-5e+10;0.00231104;-0.00601018;-0.00360283
0;0.00231104;3.8745e-17;0
5e+10;0.00231104;-0.00601018;0.00360283
1e+11;0.00231104;1.1137e-05;-0.000271327
1.5e+11;0.00231104;-5.98482e-05;-3.41269e-05
2e+11;0.00231104;-1.87396e-05;1.13322e-05
2.5e+11;0.00231104;2.70657e-06;7.80607e-06
-2.5e+11;0.00247492;1.05459e-05;-2.3775e-05
-2e+11;0.00247492;-4.61937e-05;-3.17088e-05
-1.5e+11;0.00247492;-0.000116282;6.00128e-05
-1e+11;0.00247492;-2.91748e-07;0.000389854
-5e+10;0.00247492;-0.00633339;-0.00388157
0;0.00247492;9.67712e-18;0
5e+10;0.00247492;-0.00633339;0.00388157
1e+11;0.00247492;-2.91748e-07;-0.000389854
1.5e+11;0.00247492;-0.000116282;-6.00128e-05
2e+11;0.00247492;-4.61937e-05;3.17088e-05
2.5e+11;0.00247492;1.05459e-05;2.3775e-05
-2.5e+11;0.0026388;1.65857e-05;-4.60047e-05
-2e+11;0.0026388;-9.1812e-05;-5.82108e-05
-1.5e+11;0.0026388;-0.000201599;0.000103502
-1e+11;0.0026388;-1.86374e-05;0.000561516
-5e+10;0.0026388;-0.00659086;-0.00416521
0;0.0026388;8.99143e-16;0
5e+10;0.0026388;-0.00659086;0.00416521
1e+11;0.0026388;-1.86374e-05;-0.000561516
1.5e+11;0.0026388;-0.000201599;-0.000103502
2e+11;0.0026388;-9.1812e-05;5.82108e-05
2.5e+11;0.0026388;1.65857e-05;4.60047e-05
-2.5e+11;0.00280268;1.5061e-05;-6.20919e-05
-2e+11;0.00280268;-0.000136467;-8.17926e-05
-1.5e+11;0.00280268;-0.000296951;0.000145879
-1e+11;0.00280268;-5.16957e-05;0.000760275
-5e+10;0.00280268;-0.00680532;-0.0044474
0;0.00280268;6.78429e-16;0
5e+10;0.00280268;-0.00680532;0.0044474
1e+11;0.00280268;-5.16957e-05;-0.000760275
1.5e+11;0.00280268;-0.000296951;-0.000145879
2e+11;0.00280268;-0.000136467;8.17926e-05
2.5e+11;0.00280268;1.5061e-05;6.20919e-05
-2.5e+11;0.00296656;-8.27153e-06;-4.89378e-05
-2e+11;0.00296656;-0.000151617;-8.81806e-05
-1.5e+11;0.00296656;-0.000384228;0.000157884
-1e+11;0.00296656;-0.000123458;0.000965915
-5e+10;0.00296656;-0.00697545;-0.00470597
0;0.00296656;3.92688e-15;0
5e+10;0.00296656;-0.00697545;0.00470597
1e+11;0.00296656;-0.000123458;-0.000965915
1.5e+11;0.00296656;-0.000384228;-0.000157884
2e+11;0.00296656;-0.000151617;8.81806e-05
2.5e+11;0.00296656;-8.27153e-06;4.89378e-05
-2.5e+11;0.00313044;-4.67582e-05;-1.20618e-05
-2e+11;0.00313044;-0.000139463;-8.01367e-05
-1.5e+11;0.00313044;-0.000460275;0.000143908
-1e+11;0.00313044;-0.00022456;0.00117369
-5e+10;0.00313044;-0.00711027;-0.00494743
0;0.00313044;-4.57316e-15;0
5e+10;0.00313044;-0.00711027;0.00494743
1e+11;0.00313044;-0.00022456;-0.00117369
1.5e+11;0.00313044;-0.000460275;-0.000143908
2e+11;0.00313044;-0.000139463;8.01367e-05
2.5e+11;0.00313044;-4.67582e-05;1.20618e-05
-2.5e+11;0.00329432;-8.54668e-05;3.48319e-05
-2e+11;0.00329432;-0.000108147;-6.5401e-05
-1.5e+11;0.00329432;-0.000524111;0.000117409
-1e+11;0.00329432;-0.000334635;0.00138483
-5e+10;0.00329432;-0.00721665;-0.00518869
0;0.00329432;2.16883e-15;0
5e+10;0.00329432;-0.00721665;0.00518869
1e+11;0.00329432;-0.000334635;-0.00138483
1.5e+11;0.00329432;-0.000524111;-0.000117409
2e+11;0.00329432;-0.000108147;6.5401e-05
2.5e+11;0.00329432;-8.54668e-05;-3.48319e-05
-2.5e+11;0.0034582;-0.000116534;8.58527e-05
-2e+11;0.0034582;-5.90738e-05;-4.66876e-05
-1.5e+11;0.0034582;-0.000572348;8.34573e-05
-1e+11;0.0034582;-0.000444144;0.00159839
-5e+10;0.0034582;-0.00729535;-0.00543678
0;0.0034582;-2.83399e-16;0
5e+10;0.0034582;-0.00729535;0.00543678
1e+11;0.0034582;-0.000444144;-0.00159839
1.5e+11;0.0034582;-0.000572348;-8.34573e-05
2e+11;0.0034582;-5.90738e-05;4.66876e-05
2.5e+11;0.0034582;-0.000116534;-8.58527e-05
-2.5e+11;0.00362208;-0.00014051;0.000138238
-2e+11;0.00362208;2.25381e-06;-2.49578e-05
-1.5e+11;0.00362208;-0.000607524;4.49852e-05
-1e+11;0.00362208;-0.000552985;0.00181315
-5e+10;0.00362208;-0.00735193;-0.00569081
0;0.00362208;1.21295e-14;0
5e+10;0.00362208;-0.00735193;0.00569081
1e+11;0.00362208;-0.000552985;-0.00181315
1.5e+11;0.00362208;-0.000607524;-4.49852e-05
2e+11;0.00362208;2.25381e-06;2.49578e-05
2.5e+11;0.00362208;-0.00014051;-0.000138238
-2.5e+11;0.00378596;-0.000159788;0.000189699
-2e+11;0.00378596;6.92429e-05;-4.97877e-07
-1.5e+11;0.00378596;-0.000632962;4.36268e-06
-1e+11;0.00378596;-0.000663569;0.00202717
-5e+10;0.00378596;-0.00739282;-0.00594727
0;0.00378596;8.2717e-15;0
5e+10;0.00378596;-0.00739282;0.00594727
1e+11;0.00378596;-0.000663569;-0.00202717
1.5e+11;0.00378596;-0.000632962;-4.36268e-06
2e+11;0.00378596;6.92429e-05;4.97877e-07
2.5e+11;0.00378596;-0.000159788;-0.000189699
-2.5e+11;0.00394984;-0.000172819;0.000231216
-2e+11;0.00394984;0.000130607;2.83321e-05
-1.5e+11;0.00394984;-0.000644595;-3.32855e-05
-1e+11;0.00394984;-0.000778162;0.00223015
-5e+10;0.00394984;-0.00742429;-0.00619519
0;0.00394984;3.12713e-13;0
5e+10;0.00394984;-0.00742429;0.00619519
1e+11;0.00394984;-0.000778162;-0.00223015
1.5e+11;0.00394984;-0.000644595;3.32855e-05
2e+11;0.00394984;0.000130607;-2.83321e-05
2.5e+11;0.00394984;-0.000172819;-0.000231216
-2.5e+11;0.00411372;-0.000171299;0.000239461
-2e+11;0.00411372;0.00016297;6.62285e-05
-1.5e+11;0.00411372;-0.00062631;-5.60123e-05
-1e+11;0.00411372;-0.000898337;0.00239484
-5e+10;0.00411372;-0.0074571;-0.00640701
0;0.00411372;6.27797e-15;0
5e+10;0.00411372;-0.0074571;0.00640701
1e+11;0.00411372;-0.000898337;-0.00239484
1.5e+11;0.00411372;-0.00062631;5.60123e-05
2e+11;0.00411372;0.00016297;-6.62285e-05
2.5e+11;0.00411372;-0.000171299;-0.000239461
-2.5e+11;0.0042776;-0.000158527;0.000221362
-2e+11;0.0042776;0.000172059;0.000110418
-1.5e+11;0.0042776;-0.00058577;-6.60826e-05
-1e+11;0.0042776;-0.00102079;0.00252814
-5e+10;0.0042776;-0.00749489;-0.00658852
0;0.0042776;3.01919e-15;0
5e+10;0.0042776;-0.00749489;0.00658852
1e+11;0.0042776;-0.00102079;-0.00252814
1.5e+11;0.0042776;-0.00058577;6.60826e-05
2e+11;0.0042776;0.000172059;-0.000110418
2.5e+11;0.0042776;-0.000158527;-0.000221362
-2.5e+11;0.00444148;-0.000141341;0.000193174
-2e+11;0.00444148;0.000172667;0.00015632
-1.5e+11;0.00444148;-0.00053719;-7.04317e-05
-1e+11;0.00444148;-0.00114175;0.00264762
-5e+10;0.00444148;-0.00753731;-0.00675631
0;0.00444148;-1.4768e-15;0
5e+10;0.00444148;-0.00753731;0.00675631
1e+11;0.00444148;-0.00114175;-0.00264762
1.5e+11;0.00444148;-0.00053719;7.04317e-05
2e+11;0.00444148;0.000172667;-0.00015632
2.5e+11;0.00444148;-0.000141341;-0.000193174
-2.5e+11;0.00460536;-0.000122724;0.000161768
-2e+11;0.00460536;0.000170953;0.00020163
-1.5e+11;0.00460536;-0.000487153;-7.15071e-05
-1e+11;0.00460536;-0.00125811;0.00275992
-5e+10;0.00460536;-0.00758668;-0.00691605
0;0.00460536;-9.42889e-13;0
5e+10;0.00460536;-0.00758668;0.00691605
1e+11;0.00460536;-0.00125811;-0.00275992
1.5e+11;0.00460536;-0.000487153;7.15071e-05
2e+11;0.00460536;0.000170953;-0.00020163
2.5e+11;0.00460536;-0.000122724;-0.000161768
-2.5e+11;0.00476924;-0.000104339;0.00013079
-2e+11;0.00476924;0.000170155;0.000244566
-1.5e+11;0.00476924;-0.000439959;-6.99195e-05
-1e+11;0.00476924;-0.00136589;0.00286736
-5e+10;0.00476924;-0.0076477;-0.00706881
0;0.00476924;9.69201e-14;0
5e+10;0.00476924;-0.0076477;0.00706881
1e+11;0.00476924;-0.00136589;-0.00286736
1.5e+11;0.00476924;-0.000439959;6.99195e-05
2e+11;0.00476924;0.000170155;-0.000244566
2.5e+11;0.00476924;-0.000104339;-0.00013079
-2.5e+11;0.00493312;-8.77345e-05;0.000103475
-2e+11;0.00493312;0.000173213;0.000282879
-1.5e+11;0.00493312;-0.000400339;-6.54087e-05
-1e+11;0.00493312;-0.0014588;0.00297055
-5e+10;0.00493312;-0.00772845;-0.00721314
0;0.00493312;-3.87791e-12;0
5e+10;0.00493312;-0.00772845;0.00721314
1e+11;0.00493312;-0.0014588;-0.00297055
1.5e+11;0.00493312;-0.000400339;6.54087e-05
