"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.001;-2.38331e-07;1.14363e-07
-2e+11;0.001;1.66818e-06;-4.99522e-07
-1.5e+11;0.001;1.48197e-05;1.88342e-05
-1e+11;0.001;-0.000231874;-0.000376357
-5e+10;0.001;0.0059523;0.0353184
0;0.001;1.32195;0
5e+10;0.001;0.0059523;-0.0353184
1e+11;0.001;-0.000231874;0.000376357
1.5e+11;0.001;1.48197e-05;-1.88342e-05
2e+11;0.001;1.66818e-06;4.99522e-07
2.5e+11;0.001;-2.38331e-07;-1.14363e-07
-2.5e+11;0.00116388;-5.19094e-07;2.66385e-07
-2e+11;0.00116388;3.12381e-06;-7.51795e-07
-1.5e+11;0.00116388;2.39545e-05;3.00063e-05
-1e+11;0.00116388;-0.000313147;-0.000515105
-5e+10;0.00116388;0.00690589;0.0411415
0;0.00116388;1.33676;0
5e+10;0.00116388;0.00690589;-0.0411415
1e+11;0.00116388;-0.000313147;0.000515105
1.5e+11;0.00116388;2.39545e-05;-3.00063e-05
2e+11;0.00116388;3.12381e-06;7.51795e-07
2.5e+11;0.00116388;-5.19094e-07;-2.66385e-07
-2.5e+11;0.00132776;-1.05184e-06;5.70918e-07
-2e+11;0.00132776;5.43011e-06;-8.47103e-07
-1.5e+11;0.00132776;3.68276e-05;4.4991e-05
-1e+11;0.00132776;-0.000404801;-0.000678845
-5e+10;0.00132776;0.00785171;0.0470001
0;0.00132776;1.34802;0
5e+10;0.00132776;0.00785171;-0.0470001
1e+11;0.00132776;-0.000404801;0.000678845
1.5e+11;0.00132776;3.68276e-05;-4.4991e-05
2e+11;0.00132776;5.43011e-06;8.47103e-07
2.5e+11;0.00132776;-1.05184e-06;-5.70918e-07
-2.5e+11;0.00149164;-2.0769e-06;1.15452e-06
-2e+11;0.00149164;8.95378e-06;-2.63387e-07
-1.5e+11;0.00149164;5.49195e-05;6.44321e-05
-1e+11;0.00149164;-0.000504653;-0.000870234
-5e+10;0.00149164;0.00878875;0.0529125
0;0.00149164;1.3604;0
5e+10;0.00149164;0.00878875;-0.0529125
1e+11;0.00149164;-0.000504653;0.000870234
1.5e+11;0.00149164;5.49195e-05;-6.44321e-05
2e+11;0.00149164;8.95378e-06;2.63387e-07
2.5e+11;0.00149164;-2.0769e-06;-1.15452e-06
-2.5e+11;0.00165552;-4.1188e-06;2.29863e-06
-2e+11;0.00165552;1.43146e-05;2.37408e-06
-1.5e+11;0.00165552;8.10577e-05;8.91809e-05
-1e+11;0.00165552;-0.000608731;-0.00109399
-5e+10;0.00165552;0.00971387;0.0589032
0;0.00165552;1.37545;0
5e+10;0.00165552;0.00971387;-0.0589032
1e+11;0.00165552;-0.000608731;0.00109399
1.5e+11;0.00165552;8.10577e-05;-8.91809e-05
2e+11;0.00165552;1.43146e-05;-2.37408e-06
2.5e+11;0.00165552;-4.1188e-06;-2.29863e-06
-2.5e+11;0.0018194;-6.97548e-06;4.5336e-06
-2e+11;0.0018194;2.24172e-05;7.65701e-06
-1.5e+11;0.0018194;0.000117442;0.000119499
-1e+11;0.0018194;-0.000713089;-0.00135478
-5e+10;0.0018194;0.0106241;0.0649986
0;0.0018194;1.38667;0
5e+10;0.0018194;0.0106241;-0.0649986
1e+11;0.0018194;-0.000713089;0.00135478
1.5e+11;0.0018194;0.000117442;-0.000119499
2e+11;0.0018194;2.24172e-05;-7.65701e-06
2.5e+11;0.0018194;-6.97548e-06;-4.5336e-06
-2.5e+11;0.00198328;-1.00917e-05;7.82219e-06
-2e+11;0.00198328;3.34095e-05;1.44572e-05
-1.5e+11;0.00198328;0.000163948;0.00015531
-1e+11;0.00198328;-0.000814559;-0.00165523
-5e+10;0.00198328;0.0115177;0.0712242
0;0.00198328;1.40008;0
5e+10;0.00198328;0.0115177;-0.0712242
1e+11;0.00198328;-0.000814559;0.00165523
1.5e+11;0.00198328;0.000163948;-0.00015531
2e+11;0.00198328;3.34095e-05;-1.44572e-05
2.5e+11;0.00198328;-1.00917e-05;-7.82219e-06
-2.5e+11;0.00214716;-1.45116e-05;1.07766e-05
-2e+11;0.00214716;4.61597e-05;2.34623e-05
-1.5e+11;0.00214716;0.000222824;0.000198816
-1e+11;0.00214716;-0.000904395;-0.00200224
-5e+10;0.00214716;0.0123827;0.0776167
0;0.00214716;1.41234;0
5e+10;0.00214716;0.0123827;-0.0776167
1e+11;0.00214716;-0.000904395;0.00200224
1.5e+11;0.00214716;0.000222824;-0.000198816
2e+11;0.00214716;4.61597e-05;-2.34623e-05
2.5e+11;0.00214716;-1.45116e-05;-1.07766e-05
-2.5e+11;0.00231104;-4.4442e-05;-7.07148e-06
-2e+11;0.00231104;4.3487e-05;6.3046e-05
-1.5e+11;0.00231104;0.000320842;0.000279933
-1e+11;0.00231104;-0.000930812;-0.00242635
-5e+10;0.00231104;0.0131409;0.0842509
0;0.00231104;1.42302;0
5e+10;0.00231104;0.0131409;-0.0842509
1e+11;0.00231104;-0.000930812;0.00242635
1.5e+11;0.00231104;0.000320842;-0.000279933
2e+11;0.00231104;4.3487e-05;-6.3046e-05
2.5e+11;0.00231104;-4.4442e-05;7.07148e-06
-2.5e+11;0.00247492;-0.000148297;-6.91514e-05
-2e+11;0.00247492;2.89282e-06;0.000223886
-1.5e+11;0.00247492;0.000550797;0.000475108
-1e+11;0.00247492;-0.000752945;-0.00301916
-5e+10;0.00247492;0.0135707;0.0912699
0;0.00247492;1.43599;0
5e+10;0.00247492;0.0135707;-0.0912699
1e+11;0.00247492;-0.000752945;0.00301916
1.5e+11;0.00247492;0.000550797;-0.000475108
2e+11;0.00247492;2.89282e-06;-0.000223886
2.5e+11;0.00247492;-0.000148297;6.91514e-05
-2.5e+11;0.0026388;-0.000285945;-0.000134245
-2e+11;0.0026388;-4.14007e-05;0.000493525
-1.5e+11;0.0026388;0.000914743;0.000763385
-1e+11;0.0026388;-0.000375353;-0.00379263
-5e+10;0.0026388;0.013664;0.098686
0;0.0026388;1.44515;0
5e+10;0.0026388;0.013664;-0.098686
1e+11;0.0026388;-0.000375353;0.00379263
1.5e+11;0.0026388;0.000914743;-0.000763385
2e+11;0.0026388;-4.14007e-05;-0.000493525
2.5e+11;0.0026388;-0.000285945;0.000134245
-2.5e+11;0.00280268;-0.000376649;-0.00016294
-2e+11;0.00280268;-7.50255e-05;0.000756766
-1.5e+11;0.00280268;0.00129753;0.00110245
-1e+11;0.00280268;0.000135;-0.00464526
-5e+10;0.00280268;0.0134988;0.106391
0;0.00280268;1.45725;0
5e+10;0.00280268;0.0134988;-0.106391
1e+11;0.00280268;0.000135;0.00464526
1.5e+11;0.00280268;0.00129753;-0.00110245
2e+11;0.00280268;-7.50255e-05;-0.000756766
2.5e+11;0.00280268;-0.000376649;0.00016294
-2.5e+11;0.00296656;-0.000258327;-3.24639e-05
-2e+11;0.00296656;-7.0651e-05;0.000830253
-1.5e+11;0.00296656;0.00153364;0.00147286
-1e+11;0.00296656;0.000778904;-0.00542992
-5e+10;0.00296656;0.0129897;0.114234
0;0.00296656;1.47065;0
5e+10;0.00296656;0.0129897;-0.114234
1e+11;0.00296656;0.000778904;0.00542992
1.5e+11;0.00296656;0.00153364;-0.00147286
2e+11;0.00296656;-7.0651e-05;-0.000830253
2.5e+11;0.00296656;-0.000258327;3.24639e-05
-2.5e+11;0.00313044;2.67796e-05;0.000223119
-2e+11;0.00313044;-4.13254e-05;0.000730251
-1.5e+11;0.00313044;0.00163202;0.00185615
-1e+11;0.00313044;0.00151612;-0.00615995
-5e+10;0.00313044;0.0122045;0.122201
0;0.00313044;1.48275;0
5e+10;0.00313044;0.0122045;-0.122201
1e+11;0.00313044;0.00151612;0.00615995
1.5e+11;0.00313044;0.00163202;-0.00185615
2e+11;0.00313044;-4.13254e-05;-0.000730251
2.5e+11;0.00313044;2.67796e-05;-0.000223119
-2.5e+11;0.00329432;0.000367809;0.000493048
-2e+11;0.00329432;-1.53214e-05;0.000518345
