"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;0.001;-1.34907e-07;-1.51561e-06
-2e+11;0.001;-9.92306e-06;-2.3592e-06
-1.5e+11;0.001;-0.000104785;8.33123e-05
-1e+11;0.001;0.000153652;0.00165696
-5e+10;0.001;-0.132941;-0.0762313
0;0.001;-3.5203e-20;0
5e+10;0.001;-0.132941;0.0762313
1e+11;0.001;0.000153652;-0.00165696
1.5e+11;0.001;-0.000104785;-8.33123e-05
2e+11;0.001;-9.92306e-06;2.3592e-06
2.5e+11;0.001;-1.34907e-07;1.51561e-06
-2.5e+11;0.00116388;-3.62123e-07;-3.44154e-06
-2e+11;0.00116388;-1.96518e-05;-5.09378e-06
-1.5e+11;0.00116388;-0.000171919;0.000133729
-1e+11;0.00116388;0.000215213;0.00228422
-5e+10;0.00116388;-0.154512;-0.0887354
0;0.00116388;-1.34188e-20;0
5e+10;0.00116388;-0.154512;0.0887354
1e+11;0.00116388;0.000215213;-0.00228422
1.5e+11;0.00116388;-0.000171919;-0.000133729
2e+11;0.00116388;-1.96518e-05;5.09378e-06
2.5e+11;0.00116388;-3.62123e-07;3.44154e-06
-2.5e+11;0.00132776;-8.1864e-07;-7.31688e-06
-2e+11;0.00132776;-3.68326e-05;-1.04454e-05
-1.5e+11;0.00132776;-0.00026877;0.000204149
-1e+11;0.00132776;0.000288725;0.00304371
-5e+10;0.00132776;-0.175998;-0.101291
0;0.00132776;-1.42802e-20;0
5e+10;0.00132776;-0.175998;0.101291
1e+11;0.00132776;0.000288725;-0.00304371
1.5e+11;0.00132776;-0.00026877;-0.000204149
2e+11;0.00132776;-3.68326e-05;1.04454e-05
2.5e+11;0.00132776;-8.1864e-07;7.31688e-06
-2.5e+11;0.00149164;-1.53425e-06;-1.51751e-05
-2e+11;0.00149164;-6.73021e-05;-2.09632e-05
-1.5e+11;0.00149164;-0.000408323;0.00030207
-1e+11;0.00149164;0.000373041;0.00396522
-5e+10;0.00149164;-0.197383;-0.113933
0;0.00149164;9.38612e-20;0
5e+10;0.00149164;-0.197383;0.113933
1e+11;0.00149164;0.000373041;-0.00396522
1.5e+11;0.00149164;-0.000408323;-0.00030207
2e+11;0.00149164;-6.73021e-05;2.09632e-05
2.5e+11;0.00149164;-1.53425e-06;1.51751e-05
-2.5e+11;0.00165552;-2.60746e-06;-3.1599e-05
-2e+11;0.00165552;-0.000123583;-4.19457e-05
-1.5e+11;0.00165552;-0.000614679;0.000441604
-1e+11;0.00165552;0.000464506;0.00510136
-5e+10;0.00165552;-0.218628;-0.126713
0;0.00165552;1.23687e-18;0
5e+10;0.00165552;-0.218628;0.126713
1e+11;0.00165552;0.000464506;-0.00510136
1.5e+11;0.00165552;-0.000614679;-0.000441604
2e+11;0.00165552;-0.000123583;4.19457e-05
2.5e+11;0.00165552;-2.60746e-06;3.1599e-05
-2.5e+11;0.0018194;-6.8837e-06;-5.7809e-05
-2e+11;0.0018194;-0.000215321;-7.5018e-05
-1.5e+11;0.0018194;-0.000908481;0.000635792
-1e+11;0.0018194;0.000559053;0.00650661
-5e+10;0.0018194;-0.239697;-0.139683
0;0.0018194;-2.16589e-20;0
5e+10;0.0018194;-0.239697;0.139683
1e+11;0.0018194;0.000559053;-0.00650661
1.5e+11;0.0018194;-0.000908481;-0.000635792
2e+11;0.0018194;-0.000215321;7.5018e-05
2.5e+11;0.0018194;-6.8837e-06;5.7809e-05
-2.5e+11;0.00198328;-1.32114e-05;-9.19836e-05
-2e+11;0.00198328;-0.000339711;-0.00012287
-1.5e+11;0.00198328;-0.00130187;0.00088396
-1e+11;0.00198328;0.000646468;0.00822373
-5e+10;0.00198328;-0.260558;-0.152889
0;0.00198328;-4.1527e-19;0
5e+10;0.00198328;-0.260558;0.152889
1e+11;0.00198328;0.000646468;-0.00822373
1.5e+11;0.00198328;-0.00130187;-0.00088396
2e+11;0.00198328;-0.000339711;0.00012287
2.5e+11;0.00198328;-1.32114e-05;9.19836e-05
-2.5e+11;0.00214716;-7.46339e-06;-0.000146724
-2e+11;0.00214716;-0.000510821;-0.000212208
-1.5e+11;0.00214716;-0.00185418;0.00119462
-1e+11;0.00214716;0.000693647;0.0103701
-5e+10;0.00214716;-0.281085;-0.166378
0;0.00214716;-7.58578e-17;0
5e+10;0.00214716;-0.281085;0.166378
1e+11;0.00214716;0.000693647;-0.0103701
1.5e+11;0.00214716;-0.00185418;-0.00119462
2e+11;0.00214716;-0.000510821;0.000212208
2.5e+11;0.00214716;-7.46339e-06;0.000146724
-2.5e+11;0.00231104;0.000135329;-0.000390304
-2e+11;0.00231104;-0.000936982;-0.000566609
-1.5e+11;0.00231104;-0.00299241;0.00170635
-1e+11;0.00231104;0.000556851;0.0135664
-5e+10;0.00231104;-0.300509;-0.180141
0;0.00231104;4.03012e-15;0
5e+10;0.00231104;-0.300509;0.180141
1e+11;0.00231104;0.000556851;-0.0135664
1.5e+11;0.00231104;-0.00299241;-0.00170635
2e+11;0.00231104;-0.000936982;0.000566609
2.5e+11;0.00231104;0.000135329;0.000390304
-2.5e+11;0.00247492;0.000527297;-0.00118875
-2e+11;0.00247492;-0.00230969;-0.00158544
-1.5e+11;0.00247492;-0.0058141;0.00300064
-1e+11;0.00247492;-1.45874e-05;0.0194927
-5e+10;0.00247492;-0.31667;-0.194078
0;0.00247492;4.27725e-15;0
5e+10;0.00247492;-0.31667;0.194078
1e+11;0.00247492;-1.45874e-05;-0.0194927
1.5e+11;0.00247492;-0.0058141;-0.00300064
2e+11;0.00247492;-0.00230969;0.00158544
2.5e+11;0.00247492;0.000527297;0.00118875
-2.5e+11;0.0026388;0.000829284;-0.00230024
-2e+11;0.0026388;-0.0045906;-0.00291054
-1.5e+11;0.0026388;-0.0100799;0.00517512
-1e+11;0.0026388;-0.000931869;0.0280758
-5e+10;0.0026388;-0.329543;-0.20826
0;0.0026388;9.01482e-14;0
5e+10;0.0026388;-0.329543;0.20826
1e+11;0.0026388;-0.000931869;-0.0280758
1.5e+11;0.0026388;-0.0100799;-0.00517512
2e+11;0.0026388;-0.0045906;0.00291054
2.5e+11;0.0026388;0.000829284;0.00230024
-2.5e+11;0.00280268;0.000753052;-0.0031046
-2e+11;0.00280268;-0.00682333;-0.00408963
-1.5e+11;0.00280268;-0.0148476;0.00729397
-1e+11;0.00280268;-0.00258478;0.0380137
-5e+10;0.00280268;-0.340266;-0.22237
0;0.00280268;6.6307e-14;0
5e+10;0.00280268;-0.340266;0.22237
1e+11;0.00280268;-0.00258478;-0.0380137
1.5e+11;0.00280268;-0.0148476;-0.00729397
2e+11;0.00280268;-0.00682333;0.00408963
2.5e+11;0.00280268;0.000753052;0.0031046
-2.5e+11;0.00296656;-0.000413577;-0.00244689
-2e+11;0.00296656;-0.00758085;-0.00440903
-1.5e+11;0.00296656;-0.0192114;0.00789419
-1e+11;0.00296656;-0.00617291;0.0482958
-5e+10;0.00296656;-0.348773;-0.235299
0;0.00296656;3.92002e-13;0
5e+10;0.00296656;-0.348773;0.235299
1e+11;0.00296656;-0.00617291;-0.0482958
1.5e+11;0.00296656;-0.0192114;-0.00789419
2e+11;0.00296656;-0.00758085;0.00440903
2.5e+11;0.00296656;-0.000413577;0.00244689
-2.5e+11;0.00313044;-0.00233791;-0.00060309
-2e+11;0.00313044;-0.00697314;-0.00400684
-1.5e+11;0.00313044;-0.0230138;0.00719541
-1e+11;0.00313044;-0.011228;0.0586845
-5e+10;0.00313044;-0.355513;-0.247372
0;0.00313044;-4.55089e-13;0
5e+10;0.00313044;-0.355513;0.247372
1e+11;0.00313044;-0.011228;-0.0586845
1.5e+11;0.00313044;-0.0230138;-0.00719541
2e+11;0.00313044;-0.00697314;0.00400684
2.5e+11;0.00313044;-0.00233791;0.00060309
-2.5e+11;0.00329432;-0.00427334;0.00174159
