"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
-1.5e+11;2.00902e-20;1.14485e-20
-1e+11;-6.69831e-21;1.04615e-20
-5e+10;-3.0937e-20;0.00025
0;1.96382e-20;0
5e+10;-3.0937e-20;-0.00025
1e+11;-6.69831e-21;-1.04615e-20
1.5e+11;2.00902e-20;-1.14485e-20
-1.5e+11;3.67408e-20;4.00111e-20
-1e+11;-3.44402e-20;1.00397e-20
-5e+10;-4.71301e-20;0.000280612
0;-1.16328e-12;0
5e+10;-4.71301e-20;-0.000280612
1e+11;-3.44402e-20;-1.00397e-20
1.5e+11;3.67408e-20;-4.00111e-20
-1.5e+11;2.40386e-20;1.33654e-20
-1e+11;1.60073e-21;1.49671e-20
-5e+10;-3.14512e-20;0.000311224
0;-1.72051e-21;0
5e+10;-3.14512e-20;-0.000311224
1e+11;1.60073e-21;-1.49671e-20
1.5e+11;2.40386e-20;-1.33654e-20
-1.5e+11;1.38194e-20;-1.21219e-20
-1e+11;-6.26499e-21;2.4909e-20
-5e+10;-2.78845e-20;0.000341837
0;3.87657e-20;0
5e+10;-2.78845e-20;-0.000341837
1e+11;-6.26499e-21;-2.4909e-20
1.5e+11;1.38194e-20;1.21219e-20
-1.5e+11;-1.34879e-21;1.29706e-20
-1e+11;1.52733e-20;3.95288e-21
-5e+10;-2.59563e-20;0.000372449
0;-2.17473e-19;0
5e+10;-2.59563e-20;-0.000372449
1e+11;1.52733e-20;-3.95288e-21
1.5e+11;-1.34879e-21;-1.29706e-20
-1.5e+11;2.61004e-21;2.10616e-20
-1e+11;-6.07153e-21;-7.8084e-21
-5e+10;-2.76805e-20;0.000403061
0;2.6163e-20;0
5e+10;-2.76805e-20;-0.000403061
1e+11;-6.07153e-21;7.8084e-21
1.5e+11;2.61004e-21;-2.10616e-20
