"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;0.0001;2.69644e-21;-2.34877e-21
-2e+11;0.0001;6.06509e-21;4.41049e-21
-1.5e+11;0.0001;4.89496e-21;6.44103e-21
-1e+11;0.0001;8.8005e-22;2.87044e-21
-5e+10;0.0001;-1.61982e-20;5e-05
0;0.0001;1.06488e-21;0
5e+10;0.0001;-1.61982e-20;-5e-05
1e+11;0.0001;8.8005e-22;-2.87044e-21
1.5e+11;0.0001;4.89496e-21;-6.44103e-21
2e+11;0.0001;6.06509e-21;-4.41049e-21
2.5e+11;0.0001;2.69644e-21;2.34877e-21
-2.5e+11;0.000220408;8.29606e-21;-3.8187e-21
-2e+11;0.000220408;1.28893e-20;6.89321e-21
-1.5e+11;0.000220408;8.25895e-21;1.5064e-20
-1e+11;0.000220408;2.88115e-21;2.56645e-21
-5e+10;0.000220408;-3.64239e-20;0.000110204
0;0.000220408;4.0946e-21;0
5e+10;0.000220408;-3.64239e-20;-0.000110204
1e+11;0.000220408;2.88115e-21;-2.56645e-21
1.5e+11;0.000220408;8.25895e-21;-1.5064e-20
2e+11;0.000220408;1.28893e-20;-6.89321e-21
2.5e+11;0.000220408;8.29606e-21;3.8187e-21
-2.5e+11;0.000340816;1.81851e-20;1.54677e-21
-2e+11;0.000340816;1.40341e-20;8.96474e-21
-1.5e+11;0.000340816;1.69453e-20;3.20938e-20
-1e+11;0.000340816;1.28726e-20;2.11389e-20
-5e+10;0.000340816;-6.00511e-20;0.000170408
0;0.000340816;-7.81611e-21;0
5e+10;0.000340816;-6.00511e-20;-0.000170408
1e+11;0.000340816;1.28726e-20;-2.11389e-20
1.5e+11;0.000340816;1.69453e-20;-3.20938e-20
2e+11;0.000340816;1.40341e-20;-8.96474e-21
2.5e+11;0.000340816;1.81851e-20;-1.54677e-21
-2.5e+11;0.000461224;6.80845e-21;-1.19785e-20
-2e+11;0.000461224;2.31391e-20;-4.53468e-21
-1.5e+11;0.000461224;1.68567e-20;3.55368e-20
-1e+11;0.000461224;1.39094e-20;-1.09785e-20
