"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
-1.5e+11;-1.8407e-06;-3.6988e-06
-1e+11;0.000124509;4.58642e-06
-5e+10;-0.0211328;0.0285469
0;21.703;0
5e+10;-0.0211328;-0.0285469
1e+11;0.000124509;-4.58642e-06
1.5e+11;-1.8407e-06;3.6988e-06
-1.5e+11;-2.64514e-06;-5.21592e-06
-1e+11;0.000157142;5.91035e-06
-5e+10;-0.0237194;0.0320379
0;24.3605;0
5e+10;-0.0237194;-0.0320379
1e+11;0.000157142;-5.91035e-06
1.5e+11;-2.64514e-06;5.21592e-06
-1.5e+11;-3.67022e-06;-7.09479e-06
-1e+11;0.00019365;7.47608e-06
-5e+10;-0.0263069;0.0355268
0;27.018;0
5e+10;-0.0263069;-0.0355268
1e+11;0.00019365;-7.47608e-06
1.5e+11;-3.67022e-06;7.09479e-06
-1.5e+11;-4.95085e-06;-9.37055e-06
-1e+11;0.000234055;9.32925e-06
-5e+10;-0.028896;0.0390133
0;29.6755;0
5e+10;-0.028896;-0.0390133
1e+11;0.000234055;-9.32925e-06
1.5e+11;-4.95085e-06;9.37055e-06
-1.5e+11;-6.52573e-06;-1.20762e-05
-1e+11;0.000278372;1.15283e-05
-5e+10;-0.0314875;0.0424966
0;32.333;0
5e+10;-0.0314875;-0.0424966
1e+11;0.000278372;-1.15283e-05
1.5e+11;-6.52573e-06;1.20762e-05
-1.5e+11;-8.43824e-06;-1.52418e-05
-1e+11;0.000326615;1.41469e-05
-5e+10;-0.0340824;0.0459763
0;34.9905;0
5e+10;-0.0340824;-0.0459763
1e+11;0.000326615;-1.41469e-05
1.5e+11;-8.43824e-06;1.52418e-05
