"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.0001;-2.67605e-12;9.37657e-13
-2e+11;0.0001;1.67654e-10;-6.24187e-11
-1.5e+11;0.0001;1.41041e-08;1.89769e-08
-1e+11;0.0001;-2.29223e-06;-3.78171e-06
-5e+10;0.0001;0.00062013;0.00360686
0;0.0001;1.25838;0
5e+10;0.0001;0.00062013;-0.00360686
1e+11;0.0001;-2.29223e-06;3.78171e-06
1.5e+11;0.0001;1.41041e-08;-1.89769e-08
2e+11;0.0001;1.67654e-10;6.24187e-11
2.5e+11;0.0001;-2.67605e-12;-9.37657e-13
-2.5e+11;0.000220408;-1.38171e-10;4.765e-11
-2e+11;0.000220408;3.96561e-09;-1.46381e-09
-1.5e+11;0.000220408;1.5125e-07;2.03677e-07
-1e+11;0.000220408;-1.11419e-05;-1.8391e-05
-5e+10;0.000220408;0.00136619;0.00794947
0;0.000220408;1.27081;0
5e+10;0.000220408;0.00136619;-0.00794947
1e+11;0.000220408;-1.11419e-05;1.8391e-05
1.5e+11;0.000220408;1.5125e-07;-2.03677e-07
2e+11;0.000220408;3.96561e-09;1.46381e-09
2.5e+11;0.000220408;-1.38171e-10;-4.765e-11
-2.5e+11;0.000340816;-1.21234e-09;4.17772e-10
-2e+11;0.000340816;2.27594e-08;-8.26955e-09
-1.5e+11;0.000340816;5.60758e-07;7.5609e-07
-1e+11;0.000340816;-2.66648e-05;-4.40554e-05
-5e+10;0.000340816;0.00211084;0.0122915
0;0.000340816;1.28348;0
5e+10;0.000340816;0.00211084;-0.0122915
1e+11;0.000340816;-2.66648e-05;4.40554e-05
1.5e+11;0.000340816;5.60758e-07;-7.5609e-07
2e+11;0.000340816;2.27594e-08;8.26955e-09
2.5e+11;0.000340816;-1.21234e-09;-4.17772e-10
-2.5e+11;0.000461224;-5.4635e-09;1.90852e-09
-2e+11;0.000461224;7.67455e-08;-2.72147e-08
-1.5e+11;0.000461224;1.39559e-06;1.8842e-06
-1e+11;0.000461224;-4.8889e-05;-8.08987e-05
-5e+10;0.000461224;0.00285339;0.016633
0;0.000461224;1.2968;0
5e+10;0.000461224;0.00285339;-0.016633
1e+11;0.000461224;-4.8889e-05;8.08987e-05
1.5e+11;0.000461224;1.39559e-06;-1.8842e-06
2e+11;0.000461224;7.67455e-08;2.72147e-08
2.5e+11;0.000461224;-5.4635e-09;-1.90852e-09
-2.5e+11;0.000581632;-1.73175e-08;6.21049e-09
-2e+11;0.000581632;1.95399e-07;-6.68987e-08
-1.5e+11;0.000581632;2.81494e-06;3.80381e-06
-1e+11;0.000581632;-7.78368e-05;-0.000129099
-5e+10;0.000581632;0.00359319;0.0209745
0;0.000581632;1.31012;0
5e+10;0.000581632;0.00359319;-0.0209745
1e+11;0.000581632;-7.78368e-05;0.000129099
1.5e+11;0.000581632;2.81494e-06;-3.80381e-06
2e+11;0.000581632;1.95399e-07;6.68987e-08
2.5e+11;0.000581632;-1.73175e-08;-6.21049e-09
-2.5e+11;0.00070204;-4.41848e-08;1.64362e-08
-2e+11;0.00070204;4.18092e-07;-1.36241e-07
-1.5e+11;0.00070204;4.98819e-06;6.73917e-06
-1e+11;0.00070204;-0.000113507;-0.000188894
-5e+10;0.00070204;0.00432972;0.0253174
0;0.00070204;1.32237;0
5e+10;0.00070204;0.00432972;-0.0253174
1e+11;0.00070204;-0.000113507;0.000188894
1.5e+11;0.00070204;4.98819e-06;-6.73917e-06
2e+11;0.00070204;4.18092e-07;1.36241e-07
2.5e+11;0.00070204;-4.41848e-08;-1.64362e-08
-2.5e+11;0.000822448;-9.74389e-08;3.78762e-08
-2e+11;0.000822448;7.94921e-07;-2.41696e-07
-1.5e+11;0.000822448;8.10063e-06;1.09222e-05
-1e+11;0.000822448;-0.000155849;-0.000260583
-5e+10;0.000822448;0.00506254;0.0296636
0;0.000822448;1.33584;0
5e+10;0.000822448;0.00506254;-0.0296636
1e+11;0.000822448;-0.000155849;0.000260583
1.5e+11;0.000822448;8.10063e-06;-1.09222e-05
2e+11;0.000822448;7.94921e-07;2.41696e-07
2.5e+11;0.000822448;-9.74389e-08;-3.78762e-08
-2.5e+11;0.000942856;-1.93864e-07;7.90764e-08
-2e+11;0.000942856;1.38788e-06;-3.82395e-07
-1.5e+11;0.000942856;1.23624e-05;1.65909e-05
-1e+11;0.000942856;-0.000204739;-0.000344539
-5e+10;0.000942856;0.00579133;0.0340162
0;0.000942856;1.3469;0
5e+10;0.000942856;0.00579133;-0.0340162
1e+11;0.000942856;-0.000204739;0.000344539
1.5e+11;0.000942856;1.23624e-05;-1.65909e-05
2e+11;0.000942856;1.38788e-06;3.82395e-07
2.5e+11;0.000942856;-1.93864e-07;-7.90764e-08
-2.5e+11;0.00106326;-3.58171e-07;1.53379e-07
-2e+11;0.00106326;2.27269e-06;-5.41684e-07
-1.5e+11;0.00106326;1.80228e-05;2.39869e-05
-1e+11;0.00106326;-0.000259937;-0.000441228
-5e+10;0.00106326;0.00651586;0.0383791
0;0.00106326;1.36042;0
5e+10;0.00106326;0.00651586;-0.0383791
1e+11;0.00106326;-0.000259937;0.000441228
1.5e+11;0.00106326;1.80228e-05;-2.39869e-05
2e+11;0.00106326;2.27269e-06;5.41684e-07
2.5e+11;0.00106326;-3.58171e-07;-1.53379e-07
-2.5e+11;0.00118367;-6.27921e-07;2.81166e-07
-2e+11;0.00118367;3.54176e-06;-6.72039e-07
-1.5e+11;0.00118367;2.53936e-05;3.33554e-05
-1e+11;0.00118367;-0.000321049;-0.000551242
-5e+10;0.00118367;0.00723592;0.0427573
0;0.00118367;1.37604;0
5e+10;0.00118367;0.00723592;-0.0427573
1e+11;0.00118367;-0.000321049;0.000551242
1.5e+11;0.00118367;2.53936e-05;-3.33554e-05
2e+11;0.00118367;3.54176e-06;6.72039e-07
2.5e+11;0.00118367;-6.27921e-07;-2.81166e-07
-2.5e+11;0.00130408;-1.06412e-06;4.93121e-07
-2e+11;0.00130408;5.30915e-06;-6.66509e-07
-1.5e+11;0.00130408;3.48925e-05;4.49498e-05
-1e+11;0.00130408;-0.000387463;-0.000675361
-5e+10;0.00130408;0.00795124;0.0471571
0;0.00130408;1.38952;0
5e+10;0.00130408;0.00795124;-0.0471571
1e+11;0.00130408;-0.000387463;0.000675361
1.5e+11;0.00130408;3.48925e-05;-4.49498e-05
2e+11;0.00130408;5.30915e-06;6.66509e-07
2.5e+11;0.00130408;-1.06412e-06;-4.93121e-07
-2.5e+11;0.00142449;-1.77694e-06;8.34543e-07
-2e+11;0.00142449;7.71863e-06;-2.98971e-07
-1.5e+11;0.00142449;4.71284e-05;5.90504e-05
-1e+11;0.00142449;-0.00045824;-0.000814678
-5e+10;0.00142449;0.00866126;0.0515862
0;0.00142449;1.40261;0
5e+10;0.00142449;0.00866126;-0.0515862
1e+11;0.00142449;-0.00045824;0.000814678
1.5e+11;0.00142449;4.71284e-05;-5.90504e-05
2e+11;0.00142449;7.71863e-06;2.98971e-07
2.5e+11;0.00142449;-1.77694e-06;-8.34543e-07
-2.5e+11;0.0015449;-2.99963e-06;1.36723e-06
-2e+11;0.0015449;1.09538e-05;9.228e-07
-1.5e+11;0.0015449;6.31011e-05;7.6028e-05
-1e+11;0.0015449;-0.000531889;-0.000970868
-5e+10;0.0015449;0.00936478;0.056054
0;0.0015449;1.41501;0
5e+10;0.0015449;0.00936478;-0.056054
1e+11;0.0015449;-0.000531889;0.000970868
1.5e+11;0.0015449;6.31011e-05;-7.6028e-05
2e+11;0.0015449;1.09538e-05;-9.228e-07
2.5e+11;0.0015449;-2.99963e-06;-1.36723e-06
-2.5e+11;0.0016653;-4.90281e-06;2.31961e-06
-2e+11;0.0016653;1.54151e-05;3.72329e-06
-1.5e+11;0.0016653;8.42926e-05;9.6223e-05
-1e+11;0.0016653;-0.000606344;-0.0011464
-5e+10;0.0016653;0.0100597;0.0605723
0;0.0016653;1.43122;0
5e+10;0.0016653;0.0100597;-0.0605723
1e+11;0.0016653;-0.000606344;0.0011464
1.5e+11;0.0016653;8.42926e-05;-9.6223e-05
2e+11;0.0016653;1.54151e-05;-3.72329e-06
2.5e+11;0.0016653;-4.90281e-06;-2.31961e-06
-2.5e+11;0.00178571;-7.15713e-06;3.92612e-06
-2e+11;0.00178571;2.14641e-05;7.93492e-06
-1.5e+11;0.00178571;0.000111098;0.000119565
-1e+11;0.00178571;-0.000680333;-0.00134264
-5e+10;0.00178571;0.0107453;0.0651514
0;0.00178571;1.44371;0
5e+10;0.00178571;0.0107453;-0.0651514
1e+11;0.00178571;-0.000680333;0.00134264
1.5e+11;0.00178571;0.000111098;-0.000119565
2e+11;0.00178571;2.14641e-05;-7.93492e-06
2.5e+11;0.00178571;-7.15713e-06;-3.92612e-06
-2.5e+11;0.00190612;-9.52337e-06;6.16427e-06
-2e+11;0.00190612;2.91265e-05;1.30508e-05
-1.5e+11;0.00190612;0.000143377;0.000146046
-1e+11;0.00190612;-0.000752545;-0.00156056
-5e+10;0.00190612;0.0114206;0.0698017
0;0.00190612;1.45795;0
5e+10;0.00190612;0.0114206;-0.0698017
1e+11;0.00190612;-0.000752545;0.00156056
1.5e+11;0.00190612;0.000143377;-0.000146046
2e+11;0.00190612;2.91265e-05;-1.30508e-05
2.5e+11;0.00190612;-9.52337e-06;-6.16427e-06
-2.5e+11;0.00202653;-1.19302e-05;8.86906e-06
-2e+11;0.00202653;3.82481e-05;1.87568e-05
-1.5e+11;0.00202653;0.000181372;0.000176005
-1e+11;0.00202653;-0.000820531;-0.00180199
-5e+10;0.00202653;0.0120825;0.0745363
0;0.00202653;1.47151;0
5e+10;0.00202653;0.0120825;-0.0745363
1e+11;0.00202653;-0.000820531;0.00180199
1.5e+11;0.00202653;0.000181372;-0.000176005
2e+11;0.00202653;3.82481e-05;-1.87568e-05
2.5e+11;0.00202653;-1.19302e-05;-8.86906e-06
-2.5e+11;0.00214694;-1.68514e-05;9.56917e-06
-2e+11;0.00214694;4.67588e-05;2.74014e-05
-1.5e+11;0.00214694;0.000227895;0.000212763
-1e+11;0.00214694;-0.00087667;-0.00207204
-5e+10;0.00214694;0.0127195;0.0793756
0;0.00214694;1.48534;0
5e+10;0.00214694;0.0127195;-0.0793756
1e+11;0.00214694;-0.00087667;0.00207204
1.5e+11;0.00214694;0.000227895;-0.000212763
2e+11;0.00214694;4.67588e-05;-2.74014e-05
2.5e+11;0.00214694;-1.68514e-05;-9.56917e-06
-2.5e+11;0.00226734;-4.12447e-05;-6.85166e-06
-2e+11;0.00226734;4.21727e-05;5.71402e-05
-1.5e+11;0.00226734;0.000298578;0.000275915
-1e+11;0.00226734;-0.000890099;-0.00238695
-5e+10;0.00226734;0.0132845;0.0843559
0;0.00226734;1.49739;0
5e+10;0.00226734;0.0132845;-0.0843559
1e+11;0.00226734;-0.000890099;0.00238695
1.5e+11;0.00226734;0.000298578;-0.000275915
2e+11;0.00226734;4.21727e-05;-5.71402e-05
2.5e+11;0.00226734;-4.12447e-05;6.85166e-06
-2.5e+11;0.00238775;-0.000111827;-5.6062e-05
-2e+11;0.00238775;1.02211e-05;0.000151863
-1.5e+11;0.00238775;0.000436495;0.000404184
-1e+11;0.00238775;-0.000792884;-0.00278835
-5e+10;0.00238775;0.0136701;0.0895427
0;0.00238775;1.51189;0
5e+10;0.00238775;0.0136701;-0.0895427
1e+11;0.00238775;-0.000792884;0.00278835
1.5e+11;0.00238775;0.000436495;-0.000404184
2e+11;0.00238775;1.02211e-05;-0.000151863
2.5e+11;0.00238775;-0.000111827;5.6062e-05
-2.5e+11;0.00250816;-0.000212557;-0.000113356
-2e+11;0.00250816;-2.92203e-05;0.000321487
-1.5e+11;0.00250816;0.000662301;0.000595106
-1e+11;0.00250816;-0.000567793;-0.00330066
-5e+10;0.00250816;0.0138403;0.0949648
0;0.00250816;1.52359;0
5e+10;0.00250816;0.0138403;-0.0949648
1e+11;0.00250816;-0.000567793;0.00330066
1.5e+11;0.00250816;0.000662301;-0.000595106
2e+11;0.00250816;-2.92203e-05;-0.000321487
2.5e+11;0.00250816;-0.000212557;0.000113356
-2.5e+11;0.00262857;-0.000316664;-0.000164314
