"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;6.077e-12;7.08896e-12
-2e+11;5.34131e-10;-5.68047e-10
-1.5e+11;6.4674e-08;1.06464e-07
-1e+11;1.42274e-05;2.52848e-06
-5e+10;-0.0160011;0.00117407
0;-3.4274e-23;0
5e+10;-0.0160011;-0.00117407
1e+11;1.42274e-05;-2.52848e-06
1.5e+11;6.4674e-08;-1.06464e-07
2e+11;5.34131e-10;5.68047e-10
2.5e+11;6.077e-12;-7.08896e-12
-2.5e+11;4.61828e-11;5.30102e-11
-2e+11;2.66577e-09;-2.82976e-09
-1.5e+11;2.16254e-07;3.55757e-07
-1e+11;3.18142e-05;5.64899e-06
-5e+10;-0.023921;0.00175461
0;-1.56773e-21;0
5e+10;-0.023921;-0.00175461
1e+11;3.18142e-05;-5.64899e-06
1.5e+11;2.16254e-07;-3.55757e-07
2e+11;2.66577e-09;2.82976e-09
2.5e+11;4.61828e-11;-5.30102e-11
-2.5e+11;1.96398e-10;2.21889e-10
-2e+11;8.35966e-09;-8.85066e-09
-1.5e+11;5.10593e-07;8.39207e-07
-1e+11;5.64118e-05;1.00045e-05
-5e+10;-0.0318413;0.00233447
0;4.79326e-22;0
5e+10;-0.0318413;-0.00233447
1e+11;5.64118e-05;-1.00045e-05
1.5e+11;5.10593e-07;-8.39207e-07
2e+11;8.35966e-09;8.85066e-09
2.5e+11;1.96398e-10;-2.21889e-10
-2.5e+11;6.06858e-10;6.75033e-10
-2e+11;2.03004e-08;-2.14194e-08
-1.5e+11;9.95683e-07;1.63459e-06
-1e+11;8.80537e-05;1.55928e-05
-5e+10;-0.0397622;0.00291342
0;-1.43866e-20;0
5e+10;-0.0397622;-0.00291342
1e+11;8.80537e-05;-1.55928e-05
1.5e+11;9.95683e-07;-1.63459e-06
2e+11;2.03004e-08;2.14194e-08
2.5e+11;6.06858e-10;-6.75033e-10
-2.5e+11;1.53141e-09;1.67758e-09
-2e+11;4.19179e-08;-4.40411e-08
-1.5e+11;1.72014e-06;2.81992e-06
-1e+11;0.000126784;2.24118e-05
-5e+10;-0.0476837;0.00349121
0;-1.29884e-19;0
5e+10;-0.0476837;-0.00349121
1e+11;0.000126784;-2.24118e-05
1.5e+11;1.72014e-06;-2.81992e-06
2e+11;4.19179e-08;4.40411e-08
2.5e+11;1.53141e-09;-1.67758e-09
-2.5e+11;3.35974e-09;3.62547e-09
-2e+11;7.73781e-08;-8.08824e-08
-1.5e+11;2.7334e-06;4.47351e-06
-1e+11;0.000172657;3.04608e-05
-5e+10;-0.0556063;0.00406761
0;-3.55949e-21;0
5e+10;-0.0556063;-0.00406761
1e+11;0.000172657;-3.04608e-05
1.5e+11;2.7334e-06;-4.47351e-06
2e+11;7.73781e-08;8.08824e-08
2.5e+11;3.35974e-09;-3.62547e-09
-2.5e+11;6.65227e-09;7.07293e-09
-2e+11;1.31576e-07;-1.36705e-07
-1.5e+11;4.08583e-06;6.67404e-06
-1e+11;0.000225741;3.97409e-05
-5e+10;-0.0635301;0.00464236
0;-5.78405e-21;0
5e+10;-0.0635301;-0.00464236
1e+11;0.000225741;-3.97409e-05
1.5e+11;4.08583e-06;-6.67404e-06
2e+11;1.31576e-07;1.36705e-07
2.5e+11;6.65227e-09;-7.07293e-09
-2.5e+11;1.21781e-08;1.27607e-08
-2e+11;2.10131e-07;-2.1679e-07
-1.5e+11;5.82898e-06;9.50073e-06
-1e+11;0.000286114;5.02564e-05
-5e+10;-0.0714557;0.00521519
0;1.08841e-20;0
5e+10;-0.0714557;-0.00521519
1e+11;0.000286114;-5.02564e-05
1.5e+11;5.82898e-06;-9.50073e-06
2e+11;2.10131e-07;2.1679e-07
2.5e+11;1.21781e-08;-1.27607e-08
-2.5e+11;2.0956e-08;2.16447e-08
-2e+11;3.19394e-07;-3.26852e-07
-1.5e+11;8.01575e-06;1.30333e-05
-1e+11;0.000353871;6.20155e-05
-5e+10;-0.0793836;0.00578582
0;-2.47443e-18;0
5e+10;-0.0793836;-0.00578582
1e+11;0.000353871;-6.20155e-05
1.5e+11;8.01575e-06;-1.30333e-05
2e+11;3.19394e-07;3.26852e-07
2.5e+11;2.0956e-08;-2.16447e-08
-2.5e+11;3.42996e-08;3.49259e-08
-2e+11;4.66455e-07;-4.72942e-07
-1.5e+11;1.07006e-05;1.73525e-05
-1e+11;0.000429119;7.50315e-05
-5e+10;-0.0873141;0.00635397
0;-1.44427e-20;0
5e+10;-0.0873141;-0.00635397
1e+11;0.000429119;-7.50315e-05
1.5e+11;1.07006e-05;-1.73525e-05
2e+11;4.66455e-07;4.72942e-07
2.5e+11;3.42996e-08;-3.49259e-08
-2.5e+11;5.38657e-08;5.40804e-08
-2e+11;6.59175e-07;-6.61346e-07
-1.5e+11;1.39398e-05;2.25395e-05
-1e+11;0.000511984;8.93244e-05
-5e+10;-0.0952481;0.00691933
0;-3.50328e-22;0
5e+10;-0.0952481;-0.00691933
1e+11;0.000511984;-8.93244e-05
1.5e+11;1.39398e-05;-2.25395e-05
2e+11;6.59175e-07;6.61346e-07
2.5e+11;5.38657e-08;-5.40804e-08
-2.5e+11;8.17093e-08;8.08909e-08
-2e+11;9.06226e-07;-8.9847e-07
-1.5e+11;1.77915e-05;2.86769e-05
-1e+11;0.000602608;0.000104922
-5e+10;-0.103186;0.00748157
0;1.00996e-22;0
5e+10;-0.103186;-0.00748157
1e+11;0.000602608;-0.000104922
1.5e+11;1.77915e-05;-2.86769e-05
2e+11;9.06226e-07;8.9847e-07
2.5e+11;8.17093e-08;-8.08909e-08
-2.5e+11;1.20343e-07;1.17479e-07
-2e+11;1.21715e-06;-1.19072e-06
-1.5e+11;2.23165e-05;3.58487e-05
-1e+11;0.000701153;0.000121861
-5e+10;-0.111129;0.00804035
0;-4.41996e-20;0
5e+10;-0.111129;-0.00804035
1e+11;0.000701153;-0.000121861
1.5e+11;2.23165e-05;-3.58487e-05
2e+11;1.21715e-06;1.19072e-06
2.5e+11;1.20343e-07;-1.17479e-07
-2.5e+11;1.72804e-07;1.66342e-07
-2e+11;1.60247e-06;-1.54436e-06
-1.5e+11;2.75779e-05;4.41401e-05
-1e+11;0.0008078;0.000140188
-5e+10;-0.119078;0.0085953
0;-2.03635e-18;0
5e+10;-0.119078;-0.0085953
1e+11;0.0008078;-0.000140188
1.5e+11;2.75779e-05;-4.41401e-05
2e+11;1.60247e-06;1.54436e-06
2.5e+11;1.72804e-07;-1.66342e-07
-2.5e+11;2.42734e-07;2.30382e-07
-2e+11;2.07378e-06;-1.9654e-06
-1.5e+11;3.3642e-05;5.36384e-05
-1e+11;0.000922756;0.000159962
-5e+10;-0.127034;0.00914603
0;-2.36596e-20;0
5e+10;-0.127034;-0.00914603
1e+11;0.000922756;-0.000159962
1.5e+11;3.3642e-05;-5.36384e-05
2e+11;2.07378e-06;1.9654e-06
2.5e+11;2.42734e-07;-2.30382e-07
-2.5e+11;3.34465e-07;3.12956e-07
-2e+11;2.64393e-06;-2.45939e-06
-1.5e+11;4.05781e-05;6.4433e-05
-1e+11;0.00104625;0.000181255
-5e+10;-0.134998;0.00969211
0;-2.57509e-20;0
5e+10;-0.134998;-0.00969211
1e+11;0.00104625;-0.000181255
1.5e+11;4.05781e-05;-6.4433e-05
2e+11;2.64393e-06;2.45939e-06
2.5e+11;3.34465e-07;-3.12956e-07
-2.5e+11;4.53124e-07;4.17908e-07
-2e+11;3.32719e-06;-3.03129e-06
-1.5e+11;4.84599e-05;7.66158e-05
-1e+11;0.00117854;0.000204155
-5e+10;-0.142971;0.0102331
0;6.38827e-21;0
5e+10;-0.142971;-0.0102331
1e+11;0.00117854;-0.000204155
1.5e+11;4.84599e-05;-7.66158e-05
2e+11;3.32719e-06;3.03129e-06
2.5e+11;4.53124e-07;-4.17908e-07
-2.5e+11;6.04757e-07;5.49628e-07
-2e+11;4.13956e-06;-3.68526e-06
-1.5e+11;5.73649e-05;9.02817e-05
-1e+11;0.00131991;0.000228763
-5e+10;-0.150955;0.0107685
0;-1.90904e-22;0
5e+10;-0.150955;-0.0107685
1e+11;0.00131991;-0.000228763
1.5e+11;5.73649e-05;-9.02817e-05
2e+11;4.13956e-06;3.68526e-06
2.5e+11;6.04757e-07;-5.49628e-07
-2.5e+11;7.96478e-07;7.13099e-07
-2e+11;5.09905e-06;-4.42445e-06
-1.5e+11;6.73759e-05;0.000105529
-1e+11;0.00147067;0.0002552
-5e+10;-0.15895;0.0112978
0;-1.68872e-19;0
5e+10;-0.15895;-0.0112978
1e+11;0.00147067;-0.0002552
1.5e+11;6.73759e-05;-0.000105529
2e+11;5.09905e-06;4.42445e-06
2.5e+11;7.96478e-07;-7.13099e-07
-2.5e+11;1.03664e-06;9.13973e-07
-2e+11;6.22611e-06;-5.25075e-06
-1.5e+11;7.85814e-05;0.000122461
-1e+11;0.00163119;0.000283606
-5e+10;-0.166958;0.0118205
0;-1.91958e-19;0
5e+10;-0.166958;-0.0118205
1e+11;0.00163119;-0.000283606
1.5e+11;7.85814e-05;-0.000122461
2e+11;6.22611e-06;5.25075e-06
2.5e+11;1.03664e-06;-9.13973e-07
-2.5e+11;1.33508e-06;1.15865e-06
-2e+11;7.54411e-06;-6.16447e-06
-1.5e+11;9.10764e-05;0.000141184
-1e+11;0.00180185;0.000314142
-5e+10;-0.174981;0.0123359
0;-5.72191e-20;0
5e+10;-0.174981;-0.0123359
1e+11;0.00180185;-0.000314142
1.5e+11;9.10764e-05;-0.000141184
2e+11;7.54411e-06;6.16447e-06
2.5e+11;1.33508e-06;-1.15865e-06
-2.5e+11;1.70336e-06;1.45437e-06
-2e+11;9.07996e-06;-7.16401e-06
-1.5e+11;0.000104964;0.000161812
-1e+11;0.00198308;0.000346992
-5e+10;-0.18302;0.0128434
0;5.71468e-20;0
5e+10;-0.18302;-0.0128434
1e+11;0.00198308;-0.000346992
1.5e+11;0.000104964;-0.000161812
2e+11;9.07996e-06;7.16401e-06
2.5e+11;1.70336e-06;-1.45437e-06
-2.5e+11;2.15511e-06;1.80935e-06
-2e+11;1.08649e-05;-8.24542e-06
-1.5e+11;0.000120356;0.000184464
-1e+11;0.00217536;0.000382365
-5e+10;-0.191077;0.0133422
0;-1.40364e-19;0
5e+10;-0.191077;-0.0133422
1e+11;0.00217536;-0.000382365
1.5e+11;0.000120356;-0.000184464
2e+11;1.08649e-05;8.24542e-06
2.5e+11;2.15511e-06;-1.80935e-06
-2.5e+11;2.70652e-06;2.23297e-06
-2e+11;1.29354e-05;-9.40186e-06
-1.5e+11;0.000137374;0.000209268
-1e+11;0.00237923;0.000420499
-5e+10;-0.199153;0.0138315
0;1.74383e-18;0
5e+10;-0.199153;-0.0138315
1e+11;0.00237923;-0.000420499
1.5e+11;0.000137374;-0.000209268
2e+11;1.29354e-05;9.40186e-06
2.5e+11;2.70652e-06;-2.23297e-06
-2.5e+11;3.37682e-06;2.73593e-06
-2e+11;1.53347e-05;-1.0623e-05
-1.5e+11;0.000156156;0.000236359
-1e+11;0.00259527;0.000461661
-5e+10;-0.207251;0.0143106
0;1.0637e-19;0
5e+10;-0.207251;-0.0143106
1e+11;0.00259527;-0.000461661
1.5e+11;0.000156156;-0.000236359
2e+11;1.53347e-05;1.0623e-05
2.5e+11;3.37682e-06;-2.73593e-06
-2.5e+11;4.18911e-06;3.33056e-06
-2e+11;1.81137e-05;-1.18939e-05
-1.5e+11;0.00017685;0.000265885
-1e+11;0.00282414;0.000506152
-5e+10;-0.215372;0.0147783
0;5.6334e-20;0
5e+10;-0.215372;-0.0147783
1e+11;0.00282414;-0.000506152
1.5e+11;0.00017685;-0.000265885
2e+11;1.81137e-05;1.18939e-05
2.5e+11;4.18911e-06;-3.33056e-06
-2.5e+11;5.17123e-06;4.03116e-06
-2e+11;2.13337e-05;-1.31943e-05
-1.5e+11;0.000199628;0.000298007
-1e+11;0.00306658;0.000554313
-5e+10;-0.223517;0.0152338
0;7.08747e-18;0
5e+10;-0.223517;-0.0152338
1e+11;0.00306658;-0.000554313
1.5e+11;0.000199628;-0.000298007
2e+11;2.13337e-05;1.31943e-05
2.5e+11;5.17123e-06;-4.03116e-06
-2.5e+11;6.35715e-06;4.8545e-06
-2e+11;2.50686e-05;-1.4497e-05
-1.5e+11;0.000224681;0.000332901
-1e+11;0.00332338;0.000606524
-5e+10;-0.23169;0.0156758
0;2.34201e-18;0
5e+10;-0.23169;-0.0156758
1e+11;0.00332338;-0.000606524
1.5e+11;0.000224681;-0.000332901
2e+11;2.50686e-05;1.4497e-05
2.5e+11;6.35715e-06;-4.8545e-06
-2.5e+11;7.78876e-06;5.82039e-06
-2e+11;2.94085e-05;-1.57656e-05
-1.5e+11;0.000252231;0.000370763
-1e+11;0.00359548;0.000663217
-5e+10;-0.239891;0.016103
0;3.03502e-19;0
5e+10;-0.239891;-0.016103
1e+11;0.00359548;-0.000663217
1.5e+11;0.000252231;-0.000370763
2e+11;2.94085e-05;1.57656e-05
2.5e+11;7.78876e-06;-5.82039e-06
-2.5e+11;9.51837e-06;6.95256e-06
-2e+11;3.44645e-05;-1.69526e-05
-1.5e+11;0.000282535;0.00041181
-1e+11;0.00388389;0.000724879
-5e+10;-0.248123;0.0165139
0;-5.70451e-19;0
5e+10;-0.248123;-0.0165139
1e+11;0.00388389;-0.000724879
1.5e+11;0.000282535;-0.00041181
2e+11;3.44645e-05;1.69526e-05
2.5e+11;9.51837e-06;-6.95256e-06
-2.5e+11;1.16124e-05;8.27979e-06
-2e+11;4.0375e-05;-1.79953e-05
