"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;0.0001;2.53673e-13;-1.53117e-11
-2e+11;0.0001;-8.72175e-10;-1.85825e-10
-1.5e+11;0.0001;-1.00596e-07;8.20231e-08
-1e+11;0.0001;1.09817e-06;1.63697e-05
-5e+10;0.0001;-0.013445;-0.00783542
0;0.0001;-1.58877e-22;0
5e+10;0.0001;-0.013445;0.00783542
1e+11;0.0001;1.09817e-06;-1.63697e-05
1.5e+11;0.0001;-1.00596e-07;-8.20231e-08
2e+11;0.0001;-8.72175e-10;1.85825e-10
2.5e+11;0.0001;2.53673e-13;1.53117e-11
-2.5e+11;0.000220408;1.70788e-11;-7.90386e-10
-2e+11;0.000220408;-2.07008e-08;-4.45424e-09
-1.5e+11;0.000220408;-1.08087e-06;8.78228e-07
-1e+11;0.000220408;5.3754e-06;7.96067e-05
-5e+10;0.000220408;-0.029628;-0.0172676
0;0.000220408;1.75544e-23;0
5e+10;0.000220408;-0.029628;0.0172676
1e+11;0.000220408;5.3754e-06;-7.96067e-05
1.5e+11;0.000220408;-1.08087e-06;-8.78228e-07
2e+11;0.000220408;-2.07008e-08;4.45424e-09
2.5e+11;0.000220408;1.70788e-11;7.90386e-10
-2.5e+11;0.000340816;1.48072e-10;-6.95768e-09
-2e+11;0.000340816;-1.19551e-07;-2.61807e-08
-1.5e+11;0.000340816;-4.02086e-06;3.24743e-06
-1e+11;0.000340816;1.30203e-05;0.000190705
-5e+10;0.000340816;-0.0457981;-0.026695
0;0.000340816;1.98867e-20;0
5e+10;0.000340816;-0.0457981;0.026695
1e+11;0.000340816;1.30203e-05;-0.000190705
1.5e+11;0.000340816;-4.02086e-06;-3.24743e-06
2e+11;0.000340816;-1.19551e-07;2.61807e-08
2.5e+11;0.000340816;1.48072e-10;6.95768e-09
-2.5e+11;0.000461224;5.11087e-10;-3.15716e-08
-2e+11;0.000461224;-4.06974e-07;-9.14203e-08
-1.5e+11;0.000461224;-1.00541e-05;8.05292e-06
-1e+11;0.000461224;2.4274e-05;0.000350266
-5e+10;0.000461224;-0.0619488;-0.0361158
0;0.000461224;5.07748e-21;0
5e+10;0.000461224;-0.0619488;0.0361158
1e+11;0.000461224;2.4274e-05;-0.000350266
1.5e+11;0.000461224;-1.00541e-05;-8.05292e-06
2e+11;0.000461224;-4.06974e-07;9.14203e-08
2.5e+11;0.000461224;5.11087e-10;3.15716e-08
-2.5e+11;0.000581632;7.28178e-10;-1.01143e-07
-2e+11;0.000581632;-1.05005e-06;-2.4383e-07
-1.5e+11;0.000581632;-2.04002e-05;1.61715e-05
-1e+11;0.000581632;3.946e-05;0.000559275
-5e+10;0.000581632;-0.0780741;-0.0455295
0;0.000581632;-6.47892e-22;0
5e+10;0.000581632;-0.0780741;0.0455295
1e+11;0.000581632;3.946e-05;-0.000559275
1.5e+11;0.000581632;-2.04002e-05;-1.61715e-05
2e+11;0.000581632;-1.05005e-06;2.4383e-07
2.5e+11;0.000581632;7.28178e-10;1.01143e-07
-2.5e+11;0.00070204;-1.1942e-09;-2.61861e-07
-2e+11;0.00070204;-2.28719e-06;-5.53014e-07
-1.5e+11;0.00070204;-3.64066e-05;2.85127e-05
-1e+11;0.00070204;5.89588e-05;0.000819235
-5e+10;0.00070204;-0.0941689;-0.0549372
0;0.00070204;2.50963e-21;0
5e+10;0.00070204;-0.0941689;0.0549372
1e+11;0.00070204;5.89588e-05;-0.000819235
1.5e+11;0.00070204;-3.64066e-05;-2.85127e-05
2e+11;0.00070204;-2.28719e-06;5.53014e-07
2.5e+11;0.00070204;-1.1942e-09;2.61861e-07
-2.5e+11;0.000822448;-1.04346e-08;-5.88409e-07
-2e+11;0.000822448;-4.45094e-06;-1.12786e-06
-1.5e+11;0.000822448;-5.96049e-05;4.60507e-05
-1e+11;0.000822448;8.31717e-05;0.00113235
-5e+10;0.000822448;-0.110229;-0.0643417
0;0.000822448;-6.40466e-21;0
5e+10;0.000822448;-0.110229;0.0643417
1e+11;0.000822448;8.31717e-05;-0.00113235
1.5e+11;0.000822448;-5.96049e-05;-4.60507e-05
2e+11;0.000822448;-4.45094e-06;1.12786e-06
2.5e+11;0.000822448;-1.04346e-08;5.88409e-07
-2.5e+11;0.000942856;-3.68311e-08;-1.19796e-06
-2e+11;0.000942856;-8.00579e-06;-2.13757e-06
-1.5e+11;0.000942856;-9.17932e-05;6.98738e-05
-1e+11;0.000942856;0.000112472;0.00150177
-5e+10;0.000942856;-0.126251;-0.0737482
0;0.000942856;-6.36681e-21;0
5e+10;0.000942856;-0.126251;0.0737482
1e+11;0.000942856;0.000112472;-0.00150177
1.5e+11;0.000942856;-9.17932e-05;-6.98738e-05
2e+11;0.000942856;-8.00579e-06;2.13757e-06
2.5e+11;0.000942856;-3.68311e-08;1.19796e-06
-2.5e+11;0.00106326;-9.50748e-08;-2.27427e-06
-2e+11;0.00106326;-1.36118e-05;-3.84564e-06
-1.5e+11;0.00106326;-0.000135165;0.00010126
-1e+11;0.00106326;0.000147141;0.00193191
-5e+10;0.00106326;-0.142231;-0.083164
0;0.00106326;1.5805e-20;0
5e+10;0.00106326;-0.142231;0.083164
1e+11;0.00106326;0.000147141;-0.00193191
1.5e+11;0.00106326;-0.000135165;-0.00010126
2e+11;0.00106326;-1.36118e-05;3.84564e-06
2.5e+11;0.00106326;-9.50748e-08;2.27427e-06
-2.5e+11;0.00118367;-2.00936e-07;-4.11219e-06
-2e+11;0.00118367;-2.22356e-05;-6.66792e-06
-1.5e+11;0.00118367;-0.00019252;0.000141793
-1e+11;0.00118367;0.000187281;0.00242895
-5e+10;0.00118367;-0.158166;-0.0925992
0;0.00118367;3.03299e-22;0
5e+10;0.00118367;-0.158166;0.0925992
1e+11;0.00118367;0.000187281;-0.00242895
1.5e+11;0.00118367;-0.00019252;-0.000141793
2e+11;0.00118367;-2.22356e-05;6.66792e-06
2.5e+11;0.00118367;-2.00936e-07;4.11219e-06
-2.5e+11;0.00130408;-3.5629e-07;-7.20605e-06
-2e+11;0.00130408;-3.53559e-05;-1.12815e-05
-1.5e+11;0.00130408;-0.000267641;0.000193569
-1e+11;0.00130408;0.00023269;0.00300152
-5e+10;0.00130408;-0.174053;-0.102066
0;0.00130408;4.49427e-20;0
5e+10;0.00130408;-0.174053;0.102066
1e+11;0.00130408;0.00023269;-0.00300152
1.5e+11;0.00130408;-0.000267641;-0.000193569
2e+11;0.00130408;-3.53559e-05;1.12815e-05
