"FREQ";"Y";"r xyce/V(IVPROPE)";"i xyce/V(IVPROPE)"
-2.5e+11;0.0001;-2.31052e-19;1.23201e-19
-2e+11;0.0001;-2.48508e-19;-2.46559e-19
-1.5e+11;0.0001;-2.37672e-19;-2.7722e-19
-1e+11;0.0001;-2.01528e-20;-1.23517e-19
-5e+10;0.0001;1.03496e-18;-0.0025
0;0.0001;8.82059e-17;0
5e+10;0.0001;1.03496e-18;0.0025
1e+11;0.0001;-2.01528e-20;1.23517e-19
1.5e+11;0.0001;-2.37672e-19;2.7722e-19
2e+11;0.0001;-2.48508e-19;2.46559e-19
2.5e+11;0.0001;-2.31052e-19;-1.23201e-19
-2.5e+11;0.0002;-4.62234e-19;2.46354e-19
-2e+11;0.0002;-4.96618e-19;-4.92742e-19
-1.5e+11;0.0002;-4.75247e-19;-5.54553e-19
-1e+11;0.0002;-4.07814e-20;-2.46745e-19
-5e+10;0.0002;1.76181e-18;-0.005
0;0.0002;1.08213e-16;0
5e+10;0.0002;1.76181e-18;0.005
1e+11;0.0002;-4.07814e-20;2.46745e-19
1.5e+11;0.0002;-4.75247e-19;5.54553e-19
2e+11;0.0002;-4.96618e-19;4.92742e-19
2.5e+11;0.0002;-4.62234e-19;-2.46354e-19
-2.5e+11;0.0003;-4.51015e-19;2.46409e-19
-2e+11;0.0003;-1.00365e-18;-4.92818e-19
-1.5e+11;0.0003;-7.48552e-19;-1.10881e-18
-1e+11;0.0003;-7.829e-20;2.39364e-21
-5e+10;0.0003;2.27693e-18;-0.0075
0;0.0003;4.24302e-17;0
5e+10;0.0003;2.27693e-18;0.0075
1e+11;0.0003;-7.829e-20;-2.39364e-21
1.5e+11;0.0003;-7.48552e-19;1.10881e-18
2e+11;0.0003;-1.00365e-18;4.92818e-19
2.5e+11;0.0003;-4.51015e-19;-2.46409e-19
-2.5e+11;0.0004;-9.24132e-19;4.9282e-19
-2e+11;0.0004;-9.93414e-19;-9.8563e-19
-1.5e+11;0.0004;-9.50612e-19;-1.10871e-18
-1e+11;0.0004;-8.10336e-20;-4.98407e-19
-5e+10;0.0004;3.21774e-18;-0.00999999
0;0.0004;-4.39564e-18;0
5e+10;0.0004;3.21774e-18;0.00999999
1e+11;0.0004;-8.10336e-20;4.98407e-19
1.5e+11;0.0004;-9.50612e-19;1.10871e-18
2e+11;0.0004;-9.93414e-19;9.8563e-19
2.5e+11;0.0004;-9.24132e-19;-4.9282e-19
-2.5e+11;0.0005;-9.09433e-19;4.92819e-19
-2e+11;0.0005;-1.3178e-18;-4.92797e-19
-1.5e+11;0.0005;-1.02028e-18;-2.21796e-18
-1e+11;0.0005;-4.02786e-19;-7.42306e-19
-5e+10;0.0005;3.68611e-18;-0.0125
0;0.0005;-7.92325e-17;0
5e+10;0.0005;3.68611e-18;0.0125
1e+11;0.0005;-4.02786e-19;7.42306e-19
1.5e+11;0.0005;-1.02028e-18;2.21796e-18
2e+11;0.0005;-1.3178e-18;4.92797e-19
2.5e+11;0.0005;-9.09433e-19;-4.92819e-19
-2.5e+11;0.0006;-9.02029e-19;4.92815e-19
-2e+11;0.0006;-2.00729e-18;-9.85671e-19
-1.5e+11;0.0006;-1.49716e-18;-2.21769e-18
-1e+11;0.0006;-1.6411e-19;0
-5e+10;0.0006;4.46976e-18;-0.015
0;0.0006;1.08316e-16;0
5e+10;0.0006;4.46976e-18;0.015
1e+11;0.0006;-1.6411e-19;0
1.5e+11;0.0006;-1.49716e-18;2.21769e-18
2e+11;0.0006;-2.00729e-18;9.85671e-19
2.5e+11;0.0006;-9.02029e-19;-4.92815e-19
-2.5e+11;0.0007;-1.52849e-18;-1.47845e-18
-2e+11;0.0007;-1.62e-18;-4.70339e-23
-1.5e+11;0.0007;-1.37312e-18;-4.92954e-19
-1e+11;0.0007;-7.02302e-19;-3.20962e-18
-5e+10;0.0007;6.53068e-18;-0.0175
0;0.0007;8.61937e-17;0
5e+10;0.0007;6.53068e-18;0.0175
1e+11;0.0007;-7.02302e-19;3.20962e-18
1.5e+11;0.0007;-1.37312e-18;4.92954e-19
2e+11;0.0007;-1.62e-18;4.70339e-23
2.5e+11;0.0007;-1.52849e-18;1.47845e-18
-2.5e+11;0.0008;-1.84826e-18;9.85636e-19
-2e+11;0.0008;-1.98687e-18;-1.97133e-18
-1.5e+11;0.0008;-1.90114e-18;-2.21866e-18
-1e+11;0.0008;-1.56072e-19;-9.82501e-19
-5e+10;0.0008;6.11115e-18;-0.02
0;0.0008;7.9925e-17;0
5e+10;0.0008;6.11115e-18;0.02
1e+11;0.0008;-1.56072e-19;9.82501e-19
1.5e+11;0.0008;-1.90114e-18;2.21866e-18
2e+11;0.0008;-1.98687e-18;1.97133e-18
2.5e+11;0.0008;-1.84826e-18;-9.85636e-19
-2.5e+11;0.0009;-1.79567e-18;4.92822e-19
-2e+11;0.0009;-2.14042e-18;-1.97125e-18
-1.5e+11;0.0009;-1.66006e-18;-3.69568e-18
-1e+11;0.0009;-4.68637e-19;-1.52231e-18
-5e+10;0.0009;7.13236e-18;-0.0225
0;0.0009;1.75133e-16;0
5e+10;0.0009;7.13236e-18;0.0225
1e+11;0.0009;-4.68637e-19;1.52231e-18
1.5e+11;0.0009;-1.66006e-18;3.69568e-18
2e+11;0.0009;-2.14042e-18;1.97125e-18
2.5e+11;0.0009;-1.79567e-18;-4.92822e-19
-2.5e+11;0.001;-1.8189e-18;9.85645e-19
