Power Level,r xyce/V(VOUT),i xyce/V(VOUT),r xyce/V(VIN),i xyce/V(VIN),r xyce/I(PR3),i xyce/I(PR3),r xyce/I(PR2),i xyce/I(PR2)
-30,-0.00628247,0.0190246,-0.00125474,-0.00760964,-0.000125649,0.000380492,2.50948e-05,-4.78071e-05
-25,-0.0111712,0.0338266,-0.00223127,-0.0135319,-0.000223425,0.000676533,4.46254e-05,-8.50185e-05
-20,-0.0198609,0.0601282,-0.00396792,-0.0240624,-0.000397217,0.00120256,7.93585e-05,-0.000151208
-15,-0.0352812,0.106781,-0.00705922,-0.0427852,-0.000705624,0.00213562,0.000141184,-0.000268975
-10,-0.0623574,0.189021,-0.012611,-0.0760844,-0.00124715,0.00378042,0.00025222,-0.000478312
-9.9,-0.0630617,0.191178,-0.01276,-0.076966,-0.00126123,0.00382356,0.0002552,-0.00048384
-9,-0.0697276,0.211679,-0.0141895,-0.0853767,-0.00139455,0.00423359,0.00028379,-0.000536505
-8,-0.0778269,0.236878,-0.0159892,-0.0958114,-0.00155654,0.00473755,0.000319784,-0.000601622
-7.9,-0.0786758,0.239544,-0.0161831,-0.0969233,-0.00157352,0.00479087,0.000323662,-0.000608544
-7.8,-0.0795314,0.242236,-0.0163796,-0.098048,-0.00159063,0.00484472,0.000327593,-0.000615541
-7.5,-0.0778269,0.236878,-0.0159892,-0.0958114,-0.00155654,0.00473755,0.000319784,-0.000601622
-7,-0.0778269,0.236878,-0.0159892,-0.0958114,-0.00155654,0.00473755,0.000319784,-0.000601622
-6.5,-0.0912454,0.279771,-0.019209,-0.113929,-0.00182491,0.00559542,0.000384181,-0.000713889
-6,-0.0960086,0.295474,-0.0204521,-0.12071,-0.00192017,0.00590947,0.000409042,-0.000755592
-5.5,-0.100858,0.311814,-0.0217987,-0.127899,-0.00201716,0.00623627,0.000435975,-0.000799631
-5,-0.100858,0.311814,-0.0217987,-0.127899,-0.00201716,0.00623627,0.000435975,-0.000799631
-4,-0.0786758,0.239544,-0.0161831,-0.0969233,-0.00157352,0.00479087,0.000323662,-0.000608544
-3.5,-0.0786758,0.239544,-0.0161831,-0.0969233,-0.00157352,0.00479087,0.000323662,-0.000608544
-3,-0.0786758,0.239544,-0.0161831,-0.0969233,-0.00157352,0.00479087,0.000323662,-0.000608544
-2.5,-0.0786758,0.239544,-0.0161831,-0.0969233,-0.00157352,0.00479087,0.000323662,-0.000608544
-2,-0.123809,0.411184,-0.0359619,-0.191012,-0.00247618,0.00822367,0.000719238,-0.00120352
-1,-0.123809,0.411184,-0.0359619,-0.191012,-0.00247618,0.00822367,0.000719238,-0.00120352
0,-0.0795314,0.242236,-0.0163796,-0.098048,-0.00159063,0.00484472,0.000327593,-0.000615541
1,-0.0795314,0.242236,-0.0163796,-0.098048,-0.00159063,0.00484472,0.000327593,-0.000615541
2,-0.0795314,0.242236,-0.0163796,-0.098048,-0.00159063,0.00484472,0.000327593,-0.000615541
3,-0.0795314,0.242236,-0.0163796,-0.098048,-0.00159063,0.00484472,0.000327593,-0.000615541
4,-0.0795314,0.242236,-0.0163796,-0.098048,-0.00159063,0.00484472,0.000327593,-0.000615541
20,-0.410405,0.782903,-0.190998,-1.22319,-0.00820809,0.0156581,0.00381997,-0.0387818
