"FREQ";"r xyce/I(PR3)";"i xyce/I(PR3)"
-1.5e+11;-1.82268e-07;-4.18338e-07
-1e+11;-8.39066e-06;2.83167e-06
-5e+10;-0.000710828;-0.00160403
0;-1.94856e-12;0
5e+10;-0.000710828;0.00160403
1e+11;-8.39066e-06;-2.83167e-06
1.5e+11;-1.82268e-07;4.18338e-07
-1.5e+11;-2.94279e-07;-6.98569e-07
-1e+11;-1.18048e-05;4.01141e-06
-5e+10;-0.000840746;-0.00189767
0;9.99375e-20;0
5e+10;-0.000840746;0.00189767
1e+11;-1.18048e-05;-4.01141e-06
1.5e+11;-2.94279e-07;6.98569e-07
-1.5e+11;-4.4111e-07;-1.08606e-06
-1e+11;-1.58372e-05;5.42142e-06
-5e+10;-0.000970251;-0.00219095
0;-4.13232e-18;0
5e+10;-0.000970251;0.00219095
1e+11;-1.58372e-05;-5.42142e-06
1.5e+11;-4.4111e-07;1.08606e-06
-1.5e+11;-6.25219e-07;-1.60166e-06
-1e+11;-2.05169e-05;7.07637e-06
-5e+10;-0.00109921;-0.00248388
0;-2.97502e-18;0
5e+10;-0.00109921;0.00248388
1e+11;-2.05169e-05;-7.07637e-06
1.5e+11;-6.25219e-07;1.60166e-06
-1.5e+11;-8.48002e-07;-2.26872e-06
-1e+11;-2.58835e-05;8.9929e-06
-5e+10;-0.00122746;-0.00277653
0;-1.20459e-17;0
5e+10;-0.00122746;0.00277653
1e+11;-2.58835e-05;-8.9929e-06
1.5e+11;-8.48002e-07;2.26872e-06
-1.5e+11;-1.10946e-06;-3.11406e-06
-1e+11;-3.19898e-05;1.11895e-05
-5e+10;-0.00135483;-0.00306896
0;3.63697e-18;0
5e+10;-0.00135483;0.00306896
1e+11;-3.19898e-05;-1.11895e-05
1.5e+11;-1.10946e-06;3.11406e-06
-1.5e+11;-1.4076e-06;-4.16947e-06
-1e+11;-3.89057e-05;1.36864e-05
-5e+10;-0.00148107;-0.00336126
0;-7.74985e-19;0
5e+10;-0.00148107;0.00336126
1e+11;-3.89057e-05;-1.36864e-05
1.5e+11;-1.4076e-06;4.16947e-06
-1.5e+11;-1.7373e-06;-5.47389e-06
-1e+11;-4.67234e-05;1.65053e-05
-5e+10;-0.00160592;-0.00365353
0;-5.65472e-19;0
5e+10;-0.00160592;0.00365353
1e+11;-4.67234e-05;-1.65053e-05
1.5e+11;-1.7373e-06;5.47389e-06
-1.5e+11;-2.08832e-06;-7.07719e-06
-1e+11;-5.55655e-05;1.96691e-05
-5e+10;-0.00172907;-0.00394586
0;1.46233e-17;0
5e+10;-0.00172907;0.00394586
1e+11;-5.55655e-05;-1.96691e-05
1.5e+11;-2.08832e-06;7.07719e-06
-1.5e+11;-2.44115e-06;-9.04689e-06
-1e+11;-6.55983e-05;2.32e-05
-5e+10;-0.00185011;-0.00423833
0;-3.21953e-19;0
5e+10;-0.00185011;0.00423833
1e+11;-6.55983e-05;-2.32e-05
1.5e+11;-2.44115e-06;9.04689e-06
-1.5e+11;-2.75762e-06;-1.14819e-05
-1e+11;-7.70587e-05;2.71168e-05
-5e+10;-0.00196855;-0.00453096
0;6.99908e-18;0
5e+10;-0.00196855;0.00453096
1e+11;-7.70587e-05;-2.71168e-05
1.5e+11;-2.75762e-06;1.14819e-05
-1.5e+11;-2.97006e-06;-1.45332e-05
-1e+11;-9.0296e-05;3.14321e-05
