"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
-1.5e+11;-3.18532e-06;1.88985e-06
-1e+11;5.16048e-05;-0.000111527
-5e+10;-0.00627084;0.0264939
0;1.28111;0
5e+10;-0.00627084;-0.0264939
1e+11;5.16048e-05;0.000111527
1.5e+11;-3.18532e-06;-1.88985e-06
-1.5e+11;-5.31159e-06;3.09296e-06
-1e+11;7.26773e-05;-0.000156562
-5e+10;-0.00742718;0.0313561
0;1.28696;0
5e+10;-0.00742718;-0.0313561
1e+11;7.26773e-05;0.000156562
1.5e+11;-5.31159e-06;-3.09296e-06
-1.5e+11;-8.23318e-06;4.70829e-06
-1e+11;9.76045e-05;-0.000209327
-5e+10;-0.00858773;0.036218
0;1.29471;0
5e+10;-0.00858773;-0.036218
1e+11;9.76045e-05;0.000209327
1.5e+11;-8.23318e-06;-4.70829e-06
-1.5e+11;-1.20821e-05;6.79197e-06
-1e+11;0.000126569;-0.000269837
-5e+10;-0.00975452;0.0410809
0;1.30213;0
5e+10;-0.00975452;-0.0410809
1e+11;0.000126569;0.000269837
1.5e+11;-1.20821e-05;-6.79197e-06
-1.5e+11;-1.69912e-05;9.40148e-06
-1e+11;0.000159807;-0.000338072
-5e+10;-0.01093;0.0459465
0;1.3115;0
5e+10;-0.01093;-0.0459465
1e+11;0.000159807;0.000338072
1.5e+11;-1.69912e-05;-9.40148e-06
-1.5e+11;-2.30942e-05;1.25984e-05
-1e+11;0.000197624;-0.000413963
-5e+10;-0.0121173;0.0508167
0;1.31801;0
5e+10;-0.0121173;-0.0508167
1e+11;0.000197624;0.000413963
1.5e+11;-2.30942e-05;-1.25984e-05
-1.5e+11;-3.05278e-05;1.64524e-05
-1e+11;0.00024041;-0.00049739
-5e+10;-0.0133199;0.0556941
0;1.32452;0
5e+10;-0.0133199;-0.0556941
1e+11;0.00024041;0.00049739
1.5e+11;-3.05278e-05;-1.64524e-05
-1.5e+11;-3.94373e-05;2.10477e-05
-1e+11;0.000288665;-0.000588163
-5e+10;-0.0145419;0.0605812
0;1.33047;0
5e+10;-0.0145419;-0.0605812
1e+11;0.000288665;0.000588163
1.5e+11;-3.94373e-05;-2.10477e-05
-1.5e+11;-4.99889e-05;2.64927e-05
-1e+11;0.000343041;-0.000686009
-5e+10;-0.0157882;0.0654812
0;1.33583;0
5e+10;-0.0157882;-0.0654812
1e+11;0.000343041;0.000686009
1.5e+11;-4.99889e-05;-2.64927e-05
-1.5e+11;-6.23988e-05;3.29366e-05
-1e+11;0.000404407;-0.000790544
-5e+10;-0.0170644;0.0703971
0;1.34407;0
5e+10;-0.0170644;-0.0703971
1e+11;0.000404407;0.000790544
1.5e+11;-6.23988e-05;-3.29366e-05
-1.5e+11;-7.70011e-05;4.0598e-05
-1e+11;0.000473975;-0.000901215
-5e+10;-0.0183775;0.0753322
0;1.35058;0
5e+10;-0.0183775;-0.0753322
1e+11;0.000473975;0.000901215
1.5e+11;-7.70011e-05;-4.0598e-05
-1.5e+11;-9.43372e-05;4.98136e-05
-1e+11;0.000553523;-0.00101722
-5e+10;-0.0197365;0.0802896
0;1.35709;0
5e+10;-0.0197365;-0.0802896
1e+11;0.000553523;0.00101722
1.5e+11;-9.43372e-05;-4.98136e-05
-1.5e+11;-0.000114169;6.09991e-05
-1e+11;0.00064479;-0.00113833
-5e+10;-0.0211502;0.0852735
0;1.36378;0
5e+10;-0.0211502;-0.0852735
