"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1.5e+11;-9.11341e-06;-2.09169e-05
-1e+11;-0.000419533;0.000141584
-5e+10;-0.0355414;-0.0802013
0;-1.94846e-10;0
5e+10;-0.0355414;0.0802013
1e+11;-0.000419533;-0.000141584
1.5e+11;-9.11341e-06;2.09169e-05
-1.5e+11;-1.47139e-05;-3.49284e-05
-1e+11;-0.000590239;0.00020057
-5e+10;-0.0420373;-0.0948836
0;-6.02116e-18;0
5e+10;-0.0420373;0.0948836
1e+11;-0.000590239;-0.00020057
1.5e+11;-1.47139e-05;3.49284e-05
-1.5e+11;-2.20555e-05;-5.43032e-05
-1e+11;-0.000791859;0.000271071
-5e+10;-0.0485126;-0.109547
0;-4.24615e-16;0
5e+10;-0.0485126;0.109547
1e+11;-0.000791859;-0.000271071
1.5e+11;-2.20555e-05;5.43032e-05
-1.5e+11;-3.1261e-05;-8.00832e-05
-1e+11;-0.00102585;0.000353819
-5e+10;-0.0549605;-0.124194
0;-1.24014e-17;0
5e+10;-0.0549605;0.124194
1e+11;-0.00102585;-0.000353819
1.5e+11;-3.1261e-05;8.00832e-05
-1.5e+11;-4.24001e-05;-0.000113436
-1e+11;-0.00129417;0.000449645
-5e+10;-0.0613732;-0.138826
0;-1.21103e-15;0
5e+10;-0.0613732;0.138826
1e+11;-0.00129417;-0.000449645
1.5e+11;-4.24001e-05;0.000113436
-1.5e+11;-5.54731e-05;-0.000155703
-1e+11;-0.00159949;0.000559475
-5e+10;-0.0677413;-0.153448
0;3.61015e-16;0
5e+10;-0.0677413;0.153448
1e+11;-0.00159949;-0.000559475
1.5e+11;-5.54731e-05;0.000155703
-1.5e+11;-7.03799e-05;-0.000208473
-1e+11;-0.00194528;0.00068432
-5e+10;-0.0740533;-0.168063
0;-4.21767e-17;0
5e+10;-0.0740533;0.168063
1e+11;-0.00194528;-0.00068432
1.5e+11;-7.03799e-05;0.000208473
-1.5e+11;-8.68652e-05;-0.000273695
-1e+11;-0.00233617;0.000825267
-5e+10;-0.0802961;-0.182676
0;-5.7408e-17;0
5e+10;-0.0802961;0.182676
1e+11;-0.00233617;-0.000825267
